"year","mun","cont","kg"
2023,"Abanilla",55,68508
2023,"Abarán",88,252848
2023,"Águilas",248,665958
2023,"Albudeite",18,21670
2023,"Alcantarilla",190,508181
2023,"Alcázares, Los",124,393197
2023,"Aledo",21,31829
2023,"Alguazas",49,79327
2023,"Alhama de Murcia",167,403898
2023,"Archena",101,225343
2023,"Beniel",74,128980
2023,"Blanca",32,93658
2023,"Bullas",93,251469
2023,"Calasparra",93,230664
2023,"Campos del Río",20,29130
2023,"Caravaca de la Cruz",173,428265
2023,"Cartagena",1317,3841761
2023,"Cehegín",121,265465
2023,"Ceutí",34,110903
2023,"Cieza",188,694900
2023,"Fortuna",82,108769
2023,"Fuente Álamo de Murcia",169,278564
2023,"Jumilla",185,428163
2023,"Librilla",28,72295
2023,"Lorca",580,995240
2023,"Lorquí",61,108425
2023,"Mazarrón",302,876386
2023,"Molina de Segura",387,1035359
2023,"Moratalla",81,181475
2023,"Mula",128,320340
2023,"Murcia",1708,6622624
2023,"Ojós",8,7540
2023,"Pliego",30,55016
2023,"Puerto Lumbreras",119,226747
2023,"Ricote",32,35525
2023,"San Javier",314,966168
2023,"San Pedro del Pinatar",169,490633
2023,"Santomera",103,214701
2023,"Torre-Pacheco",251,594995
2023,"Torres de Cotillas, Las",140,305933
2023,"Totana",179,758551
2023,"Ulea",8,21499
2023,"Unión, La",101,185470
2023,"Villanueva del Río Segura",12,19938
2023,"Yecla",169,631658
