"year","mun","cont","kg"
2023,"Aitona",24,38453
2023,"Alamús, Els",7,14591
2023,"Albatàrrec",19,40520
2023,"Alcanó",3,4134
2023,"Alcarràs",71,161767
2023,"Alcoletge",32,69799
2023,"Alfarràs",22,55937
2023,"Alfés",6,6648
2023,"Alguaire",24,60841
2023,"Almacelles",52,113068
2023,"Almatret",6,6379
2023,"Almenar",24,68066
2023,"Alpicat",51,143597
2023,"Artesa de Lleida",10,33080
2023,"Aspa",2,4858
2023,"Benavent de Segrià",14,28793
2023,"Corbins",12,27314
2023,"Gimenells i el Pla de la Font",12,28798
2023,"Granja d'Escarp, La",10,17590
2023,"Llardecans",5,8893
2023,"Lleida",619,2479790
2023,"Maials",6,19243
2023,"Massalcoreig",6,11225
2023,"Montoliu de Lleida",6,10858
2023,"Portella, La",5,13414
2023,"Puigverd de Lleida",11,30728
2023,"Rosselló",29,63983
2023,"Sarroca de Lleida",5,7710
2023,"Seròs",16,36019
2023,"Soses",14,33999
2023,"Sudanell",7,16310
2023,"Sunyer",2,7013
2023,"Torre-serona",6,14050
2023,"Torrebesses",3,6337
2023,"Torrefarrera",47,97641
2023,"Torres de Segre",22,44852
2023,"Vilanova de la Barca",11,29843
2023,"Vilanova de Segrià",11,21828
