"year","mun","cont","kg"
2023,"Ábalos",4,16100
2023,"Agoncillo",18,19600
2023,"Aguilar del Río Alhama",6,6440
2023,"Ajamil de Cameros",1,0
2023,"Albelda de Iregua",21,34120
2023,"Alberite",17,62380
2023,"Alcanadre",6,24200
2023,"Aldeanueva de Ebro",27,54880
2023,"Alesanco",7,22880
2023,"Alesón",3,7000
2023,"Alfaro",55,186180
2023,"Almarza de Cameros",1,1200
2023,"Anguciana",7,29000
2023,"Anguiano",5,12900
2023,"Arenzana de Abajo",3,8400
2023,"Arenzana de Arriba",1,600
2023,"Arnedillo",9,27500
2023,"Arnedo",82,265200
2023,"Arrúbal",2,8700
2023,"Ausejo",5,11900
2023,"Autol",23,84100
2023,"Azofra",2,5800
2023,"Badarán",5,25680
2023,"Bañares",12,33600
2023,"Baños de Río Tobía",7,23500
2023,"Baños de Rioja",2,6800
2023,"Berceo",2,8040
2023,"Bergasa",1,5900
2023,"Bergasillas Bajera",1,0
2023,"Bezares",1,800
2023,"Bobadilla",1,2800
2023,"Brieva de Cameros",1,2800
2023,"Briñas",4,21900
2023,"Briones",11,41720
2023,"Cabezón de Cameros",1,2200
2023,"Calahorra",121,473500
2023,"Camprovín",1,6800
2023,"Canales de la Sierra",2,8000
2023,"Cañas",1,3940
2023,"Canillas de Río Tuerto",1,4400
2023,"Cárdenas",1,2400
2023,"Casalarreina",17,75960
2023,"Castañares de Rioja",9,44160
2023,"Castroviejo",1,1400
2023,"Cellorigo",1,0
2023,"Cenicero",16,43540
2023,"Cervera del Río Alhama",28,47000
2023,"Cidamón",2,600
2023,"Cihuri",7,11500
2023,"Cirueña",8,9380
2023,"Clavijo",3,6200
2023,"Cordovín",1,5700
2023,"Corera",4,6600
2023,"Cornago",4,17220
2023,"Corporales",1,600
2023,"Cuzcurrita de Río Tirón",18,34000
2023,"Daroca de Rioja",2,7200
2023,"Enciso",3,12620
2023,"Entrena",9,23380
2023,"Estollo",1,3100
2023,"Ezcaray",42,160860
2023,"Foncea",3,2400
2023,"Fonzaleche",2,9000
2023,"Fuenmayor",34,126520
2023,"Galbárruli",2,2800
2023,"Galilea",2,9200
2023,"Gallinero de Cameros",1,1200
2023,"Gimileo",3,11200
2023,"Grañón",4,10800
2023,"Grávalos",4,7000
2023,"Haro",110,368200
2023,"Herce",3,7000
2023,"Herramélluri",1,12200
2023,"Hervías",2,5000
2023,"Hormilla",4,9200
2023,"Hormilleja",1,3000
2023,"Hornillos de Cameros",2,800
2023,"Hornos de Moncalvillo",1,2600
2023,"Huércanos",5,7500
2023,"Igea",5,16900
2023,"Jalón de Cameros",1,1200
2023,"Laguna de Cameros",2,7000
2023,"Lagunilla del Jubera",3,5200
2023,"Lardero",54,140880
2023,"Ledesma de la Cogolla",1,1600
2023,"Leiva",5,17100
2023,"Leza de Río Leza",1,1800
2023,"Logroño",560,2740900
2023,"Lumbreras",2,4800
2023,"Manjarrés",1,2400
2023,"Mansilla de la Sierra",1,1800
2023,"Manzanares de Rioja",2,3600
2023,"Matute",1,4400
2023,"Medrano",2,7600
2023,"Munilla",2,4900
2023,"Murillo de Río Leza",7,17620
2023,"Muro de Aguas",1,300
2023,"Muro en Cameros",1,5000
2023,"Nájera",51,156460
2023,"Nalda",8,21600
2023,"Navajún",2,400
2023,"Navarrete",24,76160
2023,"Nestares",1,3600
2023,"Nieva de Cameros",2,5000
2023,"Ochánduri",2,7000
2023,"Ocón",7,16900
2023,"Ojacastro",4,9620
2023,"Ollauri",6,24300
2023,"Ortigosa de Cameros",1,3400
2023,"Pazuengos",1,1000
2023,"Pedroso",1,3400
2023,"Pinillos",1,1000
2023,"Pradejón",21,72060
2023,"Pradillo",2,2000
2023,"Préjano",2,11600
2023,"Quel",15,30080
2023,"Rabanera",1,0
2023,"Rasillo de Cameros, El",3,10880
2023,"Redal, El",2,4000
2023,"Ribafrecha",10,17600
2023,"Rincón de Soto",21,46920
2023,"Robres del Castillo",2,1200
2023,"Rodezno",2,7400
2023,"Sajazarra",4,16400
2023,"San Asensio",12,41840
2023,"San Millán de la Cogolla",4,13200
2023,"San Millán de Yécora",1,600
2023,"San Román de Cameros",3,12000
2023,"San Torcuato",1,5000
2023,"San Vicente de la Sonsierra",12,50740
2023,"Santa Coloma",1,4000
2023,"Santa Engracia del Jubera",2,5100
2023,"Santa Eulalia Bajera",3,4100
2023,"Santo Domingo de la Calzada",60,150420
2023,"Santurde de Rioja",4,19800
2023,"Santurdejo",1,1400
2023,"Sojuela",6,17540
2023,"Sorzano",2,5000
2023,"Sotés",2,7800
2023,"Soto en Cameros",3,8600
2023,"Terroba",2,4600
2023,"Tirgo",3,8200
2023,"Tobía",1,2600
2023,"Tormantos",3,5600
2023,"Torre en Cameros",1,400
2023,"Torrecilla en Cameros",5,25900
2023,"Torrecilla sobre Alesanco",1,1000
2023,"Torremontalbo",1,1200
2023,"Treviana",1,2800
2023,"Tricio",3,6000
2023,"Tudelilla",2,2400
2023,"Uruñuela",9,20540
2023,"Valdemadera",1,1400
2023,"Valgañón",2,12400
2023,"Ventosa",2,3400
2023,"Ventrosa",3,1200
2023,"Viguera",4,9420
2023,"Villalba de Rioja",2,4400
2023,"Villalobar de Rioja",1,4800
2023,"Villamediana de Iregua",44,119400
2023,"Villanueva de Cameros",3,5000
2023,"Villar de Arnedo, El",3,7800
2023,"Villar de Torre",2,4800
2023,"Villarejo",1,1000
2023,"Villarroya",1,0
2023,"Villarta-Quintana",3,4600
2023,"Villavelayo",1,3800
2023,"Villaverde de Rioja",1,3400
2023,"Villoslada de Cameros",2,10000
2023,"Viniegra de Abajo",5,10600
2023,"Viniegra de Arriba",1,2000
2023,"Zarratón",6,18400
2023,"Zarzosa",1,800
2023,"Zorraquín",2,7600
