"year","mun","cont","kg"
2023,"Aiguamúrcia",25,40658
2023,"Alcover",28,144079
2023,"Alió",4,9652
2023,"Bràfim",5,23792
2023,"Cabra del Camp",11,29529
2023,"Figuerola del Camp",4,11555
2023,"Garidells, Els",4,4270
2023,"Masó, La",2,7587
2023,"Milà, El",1,4339
2023,"Mont-ral",5,9677
2023,"Montferri",6,10245
2023,"Nulles",8,18381
2023,"Pla de Santa Maria, El",6,49514
2023,"Pont d'Armentera, El",6,10628
2023,"Puigpelat",8,17417
2023,"Querol",13,26962
2023,"Riba, La",8,17760
2023,"Rodonyà",8,17777
2023,"Rourell, El",5,10988
2023,"Vallmoll",22,53013
2023,"Valls",123,456260
2023,"Vila-rodona",11,37180
2023,"Vilabella",4,8169
