"year","mun","cont","kg"
2021,"Badalona",544,2855820
2021,"Badia del Vallès",37,135660
2021,"Barberà del Vallès",100,588960
2021,"Barcelona",3099,35550250
2021,"Begues",78,188820
2021,"Castellbisbal",53,277500
2021,"Castelldefels",378,1814940
2021,"Cerdanyola del Vallès",234,1144720
2021,"Cervelló",96,208080
2021,"Corbera de Llobregat",117,275780
2021,"Cornellà de Llobregat",149,1298140
2021,"Esplugues de Llobregat",151,815420
2021,"Gavà",293,924080
2021,"Hospitalet de Llobregat, L'",647,4054480
2021,"Molins de Rei",173,586140
2021,"Montcada i Reixac",118,532040
2021,"Montgat",49,271720
2021,"Pallejà",80,236560
2021,"Palma de Cervelló, La",16,68000
2021,"Papiol, El",58,104620
2021,"Prat de Llobregat, El",249,1088280
2021,"Ripollet",114,538760
2021,"Sant Adrià de Besòs",116,474060
2021,"Sant Andreu de la Barca",73,345260
2021,"Sant Boi de Llobregat",298,1322920
2021,"Sant Climent de Llobregat",26,77640
2021,"Sant Cugat del Vallès",342,2230920
2021,"Sant Feliu de Llobregat",141,812780
2021,"Sant Joan Despí",106,630580
2021,"Sant Just Desvern",156,518620
2021,"Sant Vicenç dels Horts",227,426700
2021,"Santa Coloma de Cervelló",44,204340
2021,"Santa Coloma de Gramenet",256,1252510
2021,"Tiana",64,245240
2021,"Torrelles de Llobregat",29,126820
2021,"Viladecans",238,936420
