"year","mun","cont","kg"
2023,"Agramunt",61,152594
2023,"Anglesola",16,28673
2023,"Belianes",4,17583
2023,"Bellpuig",33,80145
2023,"Castellserà",8,24570
2023,"Ciutadilla",2,7181
2023,"Fuliola, La",12,27447
2023,"Guimerà",3,7797
2023,"Maldà",3,5883
2023,"Nalec",1,1624
2023,"Omells de na Gaia, Els",2,2339
2023,"Ossó de Sió",4,1512
2023,"Preixana",6,11135
2023,"Puigverd d'Agramunt",3,3424
2023,"Sant Martí de Riucorb",8,16632
2023,"Tàrrega",68,299516
2023,"Tornabous",11,18250
2023,"Vallbona de les Monges",7,17433
2023,"Verdú",9,17220
2023,"Vilagrassa",8,20381
