"year","mun","cont","kg"
2023,"Abia de la Obispalía",1,299
2023,"Acebrón, El",1,2892
2023,"Alarcón",3,5923
2023,"Albaladejo del Cuende",1,1307
2023,"Albalate de las Nogueras",3,5858
2023,"Albendea",1,1280
2023,"Alberca de Záncara, La",5,6075
2023,"Alcalá de la Vega",2,3040
2023,"Alcantud",1,1212
2023,"Alcázar del Rey",5,2583
2023,"Alcohujate",1,1642
2023,"Alconchel de la Estrella",1,1039
2023,"Algarra",1,554
2023,"Aliaguilla",3,5212
2023,"Almarcha, La",3,2766
2023,"Almendros",2,2936
2023,"Almodóvar del Pinar",2,3365
2023,"Almonacid del Marquesado",1,1615
2023,"Altarejos",1,2666
2023,"Arandilla del Arroyo",1,1195
2023,"Arcas",12,14217
2023,"Arcos de la Sierra",1,1053
2023,"Arguisuelas",1,2334
2023,"Arrancacepas",1,780
2023,"Atalaya del Cañavate",4,3690
2023,"Barajas de Melo",13,16937
2023,"Barchín del Hoyo",1,4677
2023,"Bascuñana de San Pedro",1,955
2023,"Beamud",1,1106
2023,"Belinchón",4,2915
2023,"Belmonte",11,21134
2023,"Belmontejo",1,1020
2023,"Beteta",6,5723
2023,"Boniches",2,3417
2023,"Buciegas",1,832
2023,"Buenache de Alarcón",1,2269
2023,"Buenache de la Sierra",1,730
2023,"Buendía",7,5941
2023,"Campillo de Altobuey",8,12263
2023,"Campillos-Paravientos",2,1781
2023,"Campillos-Sierra",1,1844
2023,"Campos del Paraíso",10,12302
2023,"Cañada del Hoyo",2,2066
2023,"Cañada Juncosa",1,2232
2023,"Canalejas del Arroyo",1,2041
2023,"Cañamares",2,2841
2023,"Cañavate, El",2,1055
2023,"Cañaveras",6,6397
2023,"Cañaveruelas",1,1642
2023,"Cañete",6,14573
2023,"Cañizares",5,5410
2023,"Carboneras de Guadazaón",6,7646
2023,"Cardenete",5,9184
2023,"Carrascosa",1,1506
2023,"Carrascosa de Haro",1,1197
2023,"Casas de Benítez",4,6111
2023,"Casas de Fernando Alonso",4,5268
2023,"Casas de Garcimolina",1,554
2023,"Casas de Guijarro",1,1172
2023,"Casas de Haro",10,9590
2023,"Casas de los Pinos",10,13157
2023,"Casasimarro",12,22849
2023,"Castejón",1,2104
2023,"Castillejo de Iniesta",3,2980
2023,"Castillejo-Sierra",1,1048
2023,"Castillo de Garcimuñoz",1,963
2023,"Castillo-Albaráñez",1,369
2023,"Cervera del Llano",3,2847
2023,"Chillarón de Cuenca",4,4570
2023,"Chumillas",1,365
2023,"Cierva, La",1,1355
2023,"Cuenca",225,669905
2023,"Cueva del Hierro",1,605
2023,"Enguídanos",2,221
2023,"Fresneda de Altarejos",1,1039
2023,"Fresneda de la Sierra",1,696
2023,"Frontera, La",2,2960
2023,"Fuente de Pedro Naharro",12,14289
2023,"Fuentelespino de Haro",2,2819
2023,"Fuentelespino de Moya",1,2151
2023,"Fuentenava de Jábaga",7,16643
2023,"Fuentes",1,2792
2023,"Fuertescusa",3,3104
2023,"Gabaldón",1,957
2023,"Garaballa",2,2633
2023,"Gascueña",1,2134
2023,"Graja de Campalbo",1,1656
2023,"Graja de Iniesta",3,3833
2023,"Henarejos",1,2150
2023,"Herrumblar, El",3,6790
2023,"Hinojosa, La",1,1202
2023,"Hinojosos, Los",4,4967
2023,"Hito, El",1,825
2023,"Honrubia",8,11472
2023,"Hontanaya",1,2371
2023,"Hontecillas",2,2328
2023,"Horcajo de Santiago",14,28169
2023,"Huélamo",2,2887
2023,"Huelves",1,1489
2023,"Huérguina",1,1544
2023,"Huerta de la Obispalía",2,816
2023,"Huerta del Marquesado",1,1845
2023,"Huete",16,20043
2023,"Iniesta",18,51733
2023,"Laguna del Marquesado",1,1013
2023,"Lagunaseca",1,1168
2023,"Landete",5,11108
2023,"Ledaña",8,15928
2023,"Leganiel",1,2533
2023,"Majadas, Las",3,4170
2023,"Mariana",4,2309
2023,"Masegosa",2,1677
2023,"Mesas, Las",9,12446
2023,"Minglanilla",12,18919
2023,"Mira",3,6397
2023,"Monreal del Llano",4,1858
2023,"Montalbanejo",1,1942
2023,"Montalbo",4,3665
2023,"Monteagudo de las Salinas",1,1979
2023,"Mota de Altarejos",1,281
2023,"Mota del Cuervo",18,57610
2023,"Motilla del Palancar",32,82353
2023,"Moya",3,1886
2023,"Narboneta",1,1113
2023,"Olivares de Júcar",1,1320
2023,"Olmeda de la Cuesta",1,833
2023,"Olmeda del Rey",1,365
2023,"Olmedilla de Alarcón",3,1909
2023,"Olmedilla de Eliz",1,369
2023,"Osa de la Vega",2,4191
2023,"Pajarón",1,1070
2023,"Pajaroncillo",1,757
2023,"Palomares del Campo",3,5598
2023,"Palomera",2,2489
2023,"Paracuellos",1,1876
2023,"Paredes",2,639
2023,"Parra de las Vegas, La",2,953
2023,"Pedernoso, El",4,6868
2023,"Pedroñeras, Las",27,57018
2023,"Peral, El",2,6687
