"year","mun","cont","kg"
2021,"Agurain/Salvatierra",41,127943
2021,"Alegría-Dulantzi",22,70107
2021,"Amurrio",93,262815
2021,"Añana",5,12887
2021,"Aramaio",21,63545
2021,"Armiñón",6,6101
2021,"Arraia-Maeztu",22,47834
2021,"Arratzua-Ubarrundia",31,51717
2021,"Artziniega",22,48104
2021,"Asparrena",25,82294
2021,"Ayala/Aiara",47,66034
2021,"Baños de Ebro/Mañueta",6,17530
2021,"Barrundia",23,40024
2021,"Berantevilla",9,16060
2021,"Bernedo",24,41790
2021,"Campezo/Kanpezu",16,53635
2021,"Elburgo/Burgelu",14,17491
2021,"Elciego",13,64491
2021,"Elvillar/Bilar",6,9385
2021,"Erriberagoitia/Ribera Alta",23,31643
2021,"Harana/Valle de Arana",4,17107
2021,"Iruña Oka/Iruña de Oca",27,66909
2021,"Iruraiz-Gauna",13,13801
2021,"Kripan",4,6817
2021,"Kuartango",14,18300
2021,"Labastida/Bastida",26,112136
2021,"Lagrán",4,9361
2021,"Laguardia",37,172347
2021,"Lanciego/Lantziego",10,24245
2021,"Lantarón",18,36399
2021,"Lapuebla de Labarca",11,21338
2021,"Laudio/Llodio",91,462197
2021,"Legutio",21,62573
2021,"Leza",3,14466
2021,"Moreda de Álava/Moreda Araba",4,16830
2021,"Navaridas",2,4433
2021,"Okondo",15,20271
2021,"Oyón-Oion",36,79256
2021,"Peñacerrada-Urizaharra",7,17122
2021,"Ribera Baja/Erribera Beitia",19,40777
2021,"Samaniego",6,25961
2021,"San Millán/Donemiliaga",26,31403
2021,"Urkabustaiz",16,51254
2021,"Valdegovía/Gaubea",31,87617
2021,"Villabuena de Álava/Eskuernaga",8,20403
2021,"Vitoria-Gasteiz",965,5781920
2021,"Yécora/Iekora",2,7327
2021,"Zalduondo",3,9258
2021,"Zambrana",5,14101
2021,"Zigoitia",31,86433
2021,"Zuia",34,99229
