"year","mun","cont","kg"
2021,"Argençola",1,8981
2021,"Bellprat",0,3429
2021,"Bruc, El",21,78171
2021,"Cabrera d'Anoia",19,48010
2021,"Calaf",40,67120
2021,"Calonge de Segarra",1,6640
2021,"Capellades",42,107200
2021,"Carme",7,16783
2021,"Castellfollit de Riubregós",0,6096
2021,"Castellolí",5,19468
2021,"Copons",2,8627
2021,"Hostalets de Pierola, Els",30,62620
2021,"Igualada",223,832660
2021,"Jorba",7,23133
2021,"Llacuna, La",16,34560
2021,"Masquefa",83,165920
2021,"Montmaneu",2,8954
2021,"Òdena",38,71720
2021,"Orpí",1,7974
2021,"Piera",85,177330
2021,"Pobla de Claramunt, La",17,48842
2021,"Prats de Rei, Els",3,13172
2021,"Pujalt",1,7684
2021,"Rubió",2,11231
2021,"Sant Martí de Tous",9,32313
2021,"Sant Martí Sesgueioles",1,10977
2021,"Sant Pere Sallavinera",1,5579
2021,"Santa Margarida de Montbui",39,101570
2021,"Santa Maria de Miralles",1,6686
2021,"Torre de Claramunt, La",35,105105
2021,"Vallbona d'Anoia",14,17790
2021,"Veciana",1,5316
2021,"Vilanova del Camí",63,155220
