"year","mun","cont","kg"
2022,"Barberà de la Conca",8,18091
2022,"Blancafort",8,13098
2022,"Conesa",3,8131
2022,"Espluga de Francolí, L'",22,103578
2022,"Forès",3,3631
2022,"Llorac",5,7163
2022,"Montblanc",42,278346
2022,"Passanant i Belltall",7,10669
2022,"Piles, Les",5,12027
2022,"Pira",7,18852
2022,"Pontils",9,9756
2022,"Rocafort de Queralt",4,12291
2022,"Santa Coloma de Queralt",19,47024
2022,"Sarral",12,45420
2022,"Savallà del Comtat",2,3779
2022,"Senan",1,3196
2022,"Solivella",10,24575
2022,"Vallclara",2,5467
2022,"Vallfogona de Riucorb",4,5657
2022,"Vilanova de Prades",3,7932
2022,"Vilaverd",5,13374
2022,"Vimbodí i Poblet",10,35263
