"year","mun","cont","kg"
2021,"Albiol, L'",8,12346
2021,"Aleixar, L'",5,21419
2021,"Alforja",18,49652
2021,"Almoster",11,30864
2021,"Arbolí",2,4437
2021,"Argentera, L'",3,5986
2021,"Borges del Camp, Les",10,50150
2021,"Botarell",6,36540
2021,"Cambrils",247,1381360
2021,"Capafonts",2,2293
2021,"Castellvell del Camp",17,70009
2021,"Colldejou",4,5850
2021,"Duesaigües",4,5554
2021,"Febró, La",1,778
2021,"Maspujols",5,24889
2021,"Mont-roig del Camp",241,556832
2021,"Montbrió del Camp",20,65019
2021,"Prades",11,26445
2021,"Pratdip",11,25884
2021,"Reus",289,1554060
2021,"Riudecanyes",5,24183
2021,"Riudecols",10,27407
2021,"Riudoms",32,117594
2021,"Selva del Camp, La",16,120677
2021,"Vandellòs i l'Hospitalet de l'Infant",83,226538
2021,"Vilanova d'Escornalbou",5,24567
2021,"Vilaplana",5,14875
2021,"Vinyols i els Arcs",20,59134
