"year","mun","cont","kg"
2021,"Ajofrín",12,20880
2021,"Alameda de la Sagra",16,21427
2021,"Albarreal de Tajo",4,6674
2021,"Alcabón",3,4207
2021,"Alcañizo",2,3378
2021,"Alcaudete de la Jara",9,13987
2021,"Alcolea de Tajo",4,6633
2021,"Aldea en Cabo",2,1547
2021,"Aldeanueva de Barbarroya",3,4720
2021,"Aldeanueva de San Bartolomé",3,2382
2021,"Almendral de la Cañada",3,6456
2021,"Almonacid de Toledo",7,8361
2021,"Almorox",13,19675
2021,"Añover de Tajo",27,34913
2021,"Arcicóllar",5,8736
2021,"Argés",28,49711
2021,"Azután",2,2381
2021,"Barcience",5,7965
2021,"Bargas",38,95103
2021,"Belvís de la Jara",8,10397
2021,"Borox",15,24227
2021,"Buenaventura",4,6418
2021,"Burguillos de Toledo",14,33995
2021,"Burujón",6,9602
2021,"Cabañas de la Sagra",10,17448
2021,"Cabañas de Yepes",4,4642
2021,"Cabezamesada",3,5609
2021,"Calera y Chozas",22,32569
2021,"Caleruela",2,4529
2021,"Calzada de Oropesa",2,4430
2021,"Camarena",17,27086
2021,"Camarenilla",5,7796
2021,"Campillo de la Jara, El",4,5439
2021,"Camuñas",9,19310
2021,"Cardiel de los Montes",5,9006
2021,"Carmena",5,7441
2021,"Carpio de Tajo, El",8,16832
2021,"Carranque",43,50391
2021,"Carriches",2,2421
2021,"Casar de Escalona, El",12,16791
2021,"Casarrubios del Monte",41,44210
2021,"Casasbuenas",3,5591
2021,"Castillo de Bayuela",4,7507
2021,"Cazalegas",8,19615
2021,"Cebolla",13,14750
2021,"Cedillo del Condado",14,24014
2021,"Cerralbos, Los",2,1992
2021,"Cervera de los Montes",4,5916
2021,"Chozas de Canales",21,28250
2021,"Chueca",2,4022
2021,"Ciruelos",5,7916
2021,"Cobeja",11,16352
2021,"Cobisa",23,53518
2021,"Consuegra",45,78695
2021,"Corral de Almaguer",25,59522
2021,"Cuerva",11,14561
2021,"Domingo Pérez",2,1379
2021,"Dosbarrios",14,21446
2021,"Erustes",2,4331
2021,"Escalona",23,34922
2021,"Escalonilla",7,11828
2021,"Espinoso del Rey",5,5988
2021,"Esquivias",29,49129
2021,"Estrella, La",3,5958
2021,"Fuensalida",32,66667
2021,"Gálvez",17,24523
2021,"Garciotum",1,1837
2021,"Gerindote",13,17493
2021,"Guadamur",12,15064
2021,"Guardia, La",17,17448
2021,"Herencias, Las",6,8128
2021,"Herreruela de Oropesa",4,4584
2021,"Hinojosa de San Vicente",2,4199
2021,"Hontanar",1,4546
2021,"Hormigos",5,8932
2021,"Huecas",7,14623
2021,"Huerta de Valdecarábanos",8,11777
2021,"Iglesuela, La",4,7429
2021,"Illán de Vacas",0,0
2021,"Illescas",111,265037
2021,"Lagartera",8,18969
2021,"Layos",6,12126
2021,"Lillo",11,19180
2021,"Lominchar",7,11046
2021,"Lucillos",4,4198
2021,"Madridejos",51,82489
2021,"Magán",11,23169
2021,"Malpica de Tajo",6,9985
2021,"Manzaneque",3,7941
2021,"Maqueda",7,7283
2021,"Marjaliza",3,3082
2021,"Marrupe",2,4386
2021,"Mascaraque",3,4373
2021,"Mata, La",6,8706
2021,"Mazarambroz",7,16985
2021,"Mejorada",7,12614
2021,"Menasalbas",13,25020
2021,"Méntrida",29,62406
2021,"Mesegar de Tajo",1,1521
2021,"Miguel Esteban",20,40817
2021,"Mocejón",20,40817
2021,"Mohedas de la Jara",2,2719
2021,"Montearagón",4,5443
2021,"Montesclaros",3,2855
2021,"Mora",38,77787
2021,"Nambroca",23,43908
2021,"Nava de Ricomalillo, La",3,4483
2021,"Navahermosa",20,29882
2021,"Navalcán",11,21073
2021,"Navalmoralejo",1,3009
2021,"Navalmorales, Los",14,21546
2021,"Navalucillos, Los",16,24077
2021,"Navamorcuende",3,6991
2021,"Noblejas",23,21939
2021,"Noez",4,5900
2021,"Nombela",5,10494
2021,"Novés",14,23102
2021,"Numancia de la Sagra",22,28853
2021,"Nuño Gómez",2,2971
2021,"Ocaña",29,13210
2021,"Olías del Rey",34,82370
2021,"Ontígola",28,53593
2021,"Orgaz",16,21747
2021,"Oropesa",14,25794
2021,"Otero",2,2364
2021,"Palomeque",6,8619
2021,"Pantoja",16,21782
2021,"Paredes de Escalona",1,3093
2021,"Parrillas",3,5575
2021,"Pelahustán",2,4047
2021,"Pepino",15,30224
2021,"Polán",16,20792
2021,"Portillo de Toledo",9,13878
2021,"Puebla de Almoradiel, La",34,45208
2021,"Puebla de Montalbán, La",34,45208
2021,"Pueblanueva, La",10,16524
2021,"Puente del Arzobispo, El",6,9201
2021,"Puerto de San Vicente",4,4077
2021,"Pulgar",7,11039
2021,"Quero",11,9100
2021,"Quintanar de la Orden",44,103640
2021,"Quismondo",11,13021
2021,"Real de San Vicente, El",6,9965
2021,"Recas",16,21459
2021,"Retamoso de la Jara",1,1887
2021,"Rielves",5,7719
2021,"Robledo del Mazo",8,7367
2021,"Romeral, El",4,6095
2021,"San Bartolomé de las Abiertas",5,9758
2021,"San Martín de Montalbán",4,8888
2021,"San Martín de Pusa",3,2021
2021,"San Pablo de los Montes",9,14101
2021,"San Román de los Montes",7,16419
2021,"Santa Ana de Pusa",5,6176
2021,"Santa Cruz de la Zarza",23,38171
2021,"Santa Cruz del Retamar",16,29081
2021,"Santa Olalla",21,26845
2021,"Santo Domingo-Caudilla",5,8892
2021,"Sartajada",3,1602
2021,"Segurilla",6,9313
2021,"Seseña",88,154719
2021,"Sevilleja de la Jara",7,9322
2021,"Sonseca",40,97748
2021,"Sotillo de las Palomas",2,3264
2021,"Talavera de la Reina",291,699840
2021,"Tembleque",14,18298
2021,"Toboso, El",10,15820
2021,"Toledo",204,855200
2021,"Torralba de Oropesa",4,7768
2021,"Torre de Esteban Hambrán, La",12,5312
2021,"Torrecilla de la Jara",12,24637
2021,"Torrico",7,13707
2021,"Torrijos",58,117915
2021,"Totanés",4,5354
2021,"Turleque",4,8338
2021,"Ugena",38,48703
2021,"Urda",16,21724
2021,"Valdeverdeja",5,9512
2021,"Valmojado",26,44948
2021,"Velada",11,20617
2021,"Ventas con Peña Aguilera, Las",8,14339
2021,"Ventas de Retamosa, Las",14,21751
2021,"Ventas de San Julián, Las",2,3622
2021,"Villa de Don Fadrique, La",21,53571
2021,"Villacañas",32,87000
2021,"Villafranca de los Caballeros",32,45310
2021,"Villaluenga de la Sagra",21,31257
2021,"Villamiel de Toledo",4,6303
2021,"Villaminaya",3,5557
2021,"Villamuelas",3,2897
2021,"Villanueva de Alcardete",22,43669
2021,"Villanueva de Bogas",5,8091
2021,"Villarejo de Montalbán",2,3010
2021,"Villarrubia de Santiago",18,26577
2021,"Villaseca de la Sagra",16,30250
2021,"Villasequilla",9,19859
2021,"Villatobas",11,20952
2021,"Viso de San Juan, El",49,65095
2021,"Yébenes, Los",19,41028
2021,"Yeles",20,34524
2021,"Yepes",18,37611
2021,"Yuncler",25,42111
2021,"Yunclillos",7,6530
2021,"Yuncos",51,70480
