"year","mun","cont","kg"
2022,"Adanero",4,5776
2022,"Adrada, La",14,36566
2022,"Albornos",2,3419
2022,"Aldeanueva de Santa Cruz",1,1857
2022,"Aldeaseca",3,4794
2022,"Aldehuela, La",2,3223
2022,"Amavida",3,4108
2022,"Arenal, El",8,15720
2022,"Arenas de San Pedro",23,75982
2022,"Arevalillo",1,1563
2022,"Arévalo",65,141430
2022,"Aveinte",1,1661
2022,"Avellaneda",1,1228
2022,"Ávila",350,687433
2022,"Barco de Ávila, El",15,33480
2022,"Barraco, El",12,28065
2022,"Barromán",1,2445
2022,"Becedas",4,5433
2022,"Becedillas",1,1644
2022,"Bercial de Zapardiel",2,3566
2022,"Berlanas, Las",3,5782
2022,"Bernuy-Zapardiel",2,2749
2022,"Berrocalejo de Aragona",1,1440
2022,"Blascomillán",3,4434
2022,"Blasconuño de Matacabras",1,1121
2022,"Blascosancho",2,2823
2022,"Bohodón, El",2,2921
2022,"Bohoyo",2,3893
2022,"Bonilla de la Sierra",1,2020
2022,"Brabos",2,2349
2022,"Bularros",1,1489
2022,"Burgohondo",6,15814
2022,"Cabezas de Alambre",2,3297
2022,"Cabezas del Pozo",2,2659
2022,"Cabezas del Villar",2,4008
2022,"Cabizuela",1,1701
2022,"Canales",1,1309
2022,"Candeleda",31,72428
2022,"Cantiveros",3,3813
2022,"Cardeñosa",3,6493
2022,"Carrera, La",2,3297
2022,"Casas del Puerto",1,1661
2022,"Casasola",2,2561
2022,"Casavieja",7,18634
2022,"Casillas",3,8324
2022,"Castellanos de Zapardiel",1,1742
2022,"Cebreros",19,45384
2022,"Cepeda la Mora",3,3625
2022,"Chamartín",1,1522
2022,"Cillán",1,1620
2022,"Cisla",3,3854
2022,"Colilla, La",2,4939
2022,"Collado de Contreras",2,3223
2022,"Collado del Mirón",1,1228
2022,"Constanzana",2,2839
2022,"Crespos",6,9972
2022,"Cuevas del Valle",5,9308
2022,"Diego del Carpio",1,1955
2022,"Donjimeno",2,2578
2022,"Donvidas",1,1252
2022,"Espinosa de los Caballeros",2,2864
2022,"Flores de Ávila",4,6307
2022,"Fontiveros",8,13930
2022,"Fresnedilla",2,2880
2022,"Fresno, El",3,7866
2022,"Fuente el Saúz",2,3321
2022,"Fuentes de Año",2,2766
2022,"Gallegos de Altamiros",2,2488
2022,"Gallegos de Sobrinos",2,2398
2022,"Garganta del Villar",1,1342
2022,"Gavilanes",4,8710
2022,"Gemuño",2,3272
2022,"Gil García",1,1342
2022,"Gilbuena",1,1481
2022,"Gimialcón",1,1595
2022,"Gotarrendura",1,2429
2022,"Grandes y San Martín",1,1277
