"year","mun","cont","kg"
2021,"Agullana",9,28283
2021,"Albanyà",5,9413
2021,"Armentera, L'",8,38756
2021,"Avinyonet de Puigventós",9,39659
2021,"Bàscara",14,32601
2021,"Biure",6,7273
2021,"Boadella i les Escaules",4,17432
2021,"Borrassà",12,19734
2021,"Cabanelles",7,14306
2021,"Cabanes",6,19525
2021,"Cadaqués",44,287480
2021,"Cantallops",9,27213
2021,"Capmany",11,34596
2021,"Castelló d'Empúries",125,572750
2021,"Cistella",4,13134
2021,"Colera",11,48934
2021,"Darnius",5,23149
2021,"Escala, L'",200,611220
2021,"Espolla",7,21573
2021,"Far d'Empordà, El",4,11173
2021,"Figueres",193,695980
2021,"Fortià",8,22459
2021,"Garrigàs",8,19739
2021,"Garriguella",12,51908
2021,"Jonquera, La",39,68556
2021,"Lladó",10,25423
2021,"Llançà",76,299171
2021,"Llers",16,48648
2021,"Maçanet de Cabrenys",15,49844
2021,"Masarac",4,10693
2021,"Mollet de Peralada",4,17219
2021,"Navata",24,61390
2021,"Ordis",5,11689
2021,"Palau de Santa Eulàlia",2,7226
2021,"Palau-saverdera",16,62686
2021,"Pau",6,25614
2021,"Pedret i Marzà",3,5801
2021,"Peralada",22,92439
2021,"Pont de Molins",10,26692
2021,"Pontós",3,14131
2021,"Port de la Selva, El",25,128380
2021,"Portbou",16,53554
2021,"Rabós",2,12729
2021,"Riumors",5,7763
2021,"Roses",144,935706
2021,"Sant Climent Sescebes",9,22904
2021,"Sant Llorenç de la Muga",5,18105
2021,"Sant Miquel de Fluvià",8,24544
2021,"Sant Mori",2,8625
2021,"Sant Pere Pescador",76,207942
2021,"Santa Llogaia d'Àlguema",3,7093
2021,"Saus, Camallera i Llampaies",16,42510
2021,"Selva de Mar, La",2,15261
2021,"Siurana",7,10784
2021,"Terrades",6,13073
2021,"Torroella de Fluvià",10,23740
2021,"Vajol, La",2,4140
2021,"Ventalló",16,51857
2021,"Vila-sacra",8,21266
2021,"Vilabertran",5,17365
2021,"Viladamat",11,26344
2021,"Vilafant",36,119634
2021,"Vilajuïga",0,0
2021,"Vilamacolum",4,10083
2021,"Vilamalla",14,28822
2021,"Vilamaniscle",2,11152
2021,"Vilanant",5,15592
2021,"Vilaür",2,7860
