"year","mun","cont","kg"
2021,"Aitona",24,36985
2021,"Alamús, Els",7,15972
2021,"Albatàrrec",18,46317
2021,"Alcanó",3,5326
2021,"Alcarràs",67,189011
2021,"Alcoletge",32,71011
2021,"Alfarràs",22,59068
2021,"Alfés",4,8436
2021,"Alguaire",23,64703
2021,"Almacelles",52,116123
2021,"Almatret",6,7651
2021,"Almenar",24,71715
2021,"Alpicat",51,160806
2021,"Artesa de Lleida",10,35336
2021,"Aspa",2,5065
2021,"Benavent de Segrià",14,31762
2021,"Corbins",10,28791
2021,"Gimenells i el Pla de la Font",11,35060
2021,"Granja d'Escarp, La",9,19250
2021,"Llardecans",5,11137
2021,"Lleida",659,2447280
2021,"Maials",9,22801
2021,"Massalcoreig",5,12734
2021,"Montoliu de Lleida",5,11120
2021,"Portella, La",5,14631
2021,"Puigverd de Lleida",10,31056
2021,"Rosselló",29,70335
2021,"Sarroca de Lleida",4,8980
2021,"Seròs",16,40626
2021,"Soses",14,36765
2021,"Sudanell",7,16543
2021,"Sunyer",3,8604
2021,"Torre-serona",6,13368
2021,"Torrebesses",4,6698
2021,"Torrefarrera",46,103895
2021,"Torres de Segre",22,44450
2021,"Vilanova de la Barca",11,26582
2021,"Vilanova de Segrià",11,23686
