"year","mun","cont","kg"
2021,"Argelaguer",7,18485
2021,"Besalú",29,76140
2021,"Beuda",3,11691
2021,"Castellfollit de la Roca",8,25103
2021,"Maià de Montcal",13,27993
2021,"Mieres",4,18433
2021,"Montagut i Oix",18,39703
2021,"Olot",170,683724
2021,"Planes d'Hostoles, Les",15,59461
2021,"Preses, Les",24,46694
2021,"Riudaura",7,16889
2021,"Sales de Llierca",3,8356
2021,"Sant Aniol de Finestres",6,19761
2021,"Sant Feliu de Pallerols",17,44482
2021,"Sant Ferriol",5,13208
2021,"Sant Jaume de Llierca",8,23452
2021,"Sant Joan les Fonts",23,52542
2021,"Santa Pau",20,58830
2021,"Tortellà",7,28466
2021,"Vall d'en Bas, La",25,89323
2021,"Vall de Bianya, La",19,72364
