"year","mun","cont","kg"
2022,"Argelaguer",7,21763
2022,"Besalú",26,71280
2022,"Beuda",4,13871
2022,"Castellfollit de la Roca",8,28879
2022,"Maià de Montcal",13,35893
2022,"Mieres",4,14148
2022,"Montagut i Oix",17,50984
2022,"Olot",173,725789
2022,"Planes d'Hostoles, Les",18,47981
2022,"Preses, Les",22,60487
2022,"Riudaura",6,17007
2022,"Sales de Llierca",3,7702
2022,"Sant Aniol de Finestres",6,18409
2022,"Sant Feliu de Pallerols",19,47357
2022,"Sant Ferriol",7,15834
2022,"Sant Jaume de Llierca",8,22271
2022,"Sant Joan les Fonts",29,56224
2022,"Santa Pau",23,67811
2022,"Tortellà",10,25576
2022,"Vall d'en Bas, La",30,100765
2022,"Vall de Bianya, La",22,67968
