"year","mun","cont","kg"
2022,"Albanchez de Mágina",8,11398
2022,"Alcalá la Real",185,247438
2022,"Alcaudete",70,118772
2022,"Aldeaquemada",4,5315
2022,"Andújar",163,413582
2022,"Arjona",21,61951
2022,"Arjonilla",24,40578
2022,"Arquillos",18,19491
2022,"Arroyo del Ojanco",28,25563
2022,"Baeza",93,181056
2022,"Bailén",72,199468
2022,"Baños de la Encina",15,29776
2022,"Beas de Segura",41,58680
2022,"Bedmar y Garcíez",24,30270
2022,"Begíjar",14,34528
2022,"Bélmez de la Moraleda",11,17436
2022,"Benatae",6,5143
2022,"Cabra del Santo Cristo",17,20031
2022,"Cambil",28,30327
2022,"Campillo de Arenas",19,19571
2022,"Canena",13,20685
2022,"Carboneros",10,6807
2022,"Cárcheles",7,15037
2022,"Carolina, La",84,171723
2022,"Castellar",24,36836
2022,"Castillo de Locubín",39,45456
2022,"Cazalilla",7,8552
2022,"Cazorla",47,82452
2022,"Chiclana de Segura",12,10354
2022,"Chilluévar",6,16036
2022,"Escañuela",10,10698
2022,"Espeluy",12,6956
2022,"Frailes",13,17964
2022,"Fuensanta de Martos",20,34701
2022,"Fuerte del Rey",13,15026
2022,"Génave",8,6577
2022,"Guardia de Jaén, La",36,59127
2022,"Guarromán",25,31544
2022,"Higuera de Calatrava",6,6991
2022,"Hinojares",6,3845
2022,"Hornos",13,6761
2022,"Huelma",42,64454
2022,"Huesa",21,28066
2022,"Ibros",28,31992
2022,"Iruela, La",31,21925
2022,"Iznatoraf",5,10388
2022,"Jabalquinto",10,22590
2022,"Jaén",371,1442873
2022,"Jamilena",28,38041
2022,"Jimena",10,14383
2022,"Jódar",47,132385
2022,"Lahiguera",15,18802
2022,"Larva",5,5269
2022,"Linares",274,639704
2022,"Lopera",42,41507
2022,"Lupión",8,9527
2022,"Mancha Real",72,130285
2022,"Marmolejo",22,76449
2022,"Martos",96,279269
2022,"Mengíbar",65,114387
2022,"Montizón",8,18435
2022,"Navas de San Juan",26,51253
2022,"Noalejo",19,21305
2022,"Orcera",21,20111
2022,"Peal de Becerro",46,61354
2022,"Pegalajar",21,32405
2022,"Porcuna",23,69791
2022,"Pozo Alcón",51,53181
2022,"Puente de Génave",28,24966
2022,"Puerta de Segura, La",19,25770
2022,"Quesada",36,58611
2022,"Rus",20,39774
2022,"Sabiote",24,44343
2022,"Santa Elena",13,10136
2022,"Santiago de Calatrava",7,7519
2022,"Santiago-Pontones",48,31877
2022,"Santisteban del Puerto",27,50897
2022,"Santo Tomé",15,24163
2022,"Segura de la Sierra",34,19847
2022,"Siles",27,24886
2022,"Sorihuela del Guadalimar",8,12087
2022,"Torreblascopedro",24,28238
2022,"Torredelcampo",63,159808
2022,"Torredonjimeno",55,154585
2022,"Torreperogil",58,81844
2022,"Torres",18,15611
2022,"Torres de Albánchez",10,8701
2022,"Úbeda",152,390992
2022,"Valdepeñas de Jaén",27,41289
2022,"Vilches",44,49554
2022,"Villacarrillo",85,120344
2022,"Villanueva de la Reina",29,34586
2022,"Villanueva del Arzobispo",43,91463
2022,"Villardompardo",7,10733
2022,"Villares, Los",39,70250
2022,"Villarrodrigo",7,4305
2022,"Villatorres",30,49281
