"year","mun","cont","kg"
2022,"Abadía",2,5169
2022,"Abertura",2,2884
2022,"Acebo",6,10491
2022,"Acehúche",4,1991
2022,"Aceituna",3,2853
2022,"Ahigal",12,15819
2022,"Alagón del Río",5,9471
2022,"Albalá",2,3796
2022,"Alcántara",15,20137
2022,"Alcollarín",2,1313
2022,"Alcuéscar",21,14832
2022,"Aldea del Cano",7,11998
2022,"Aldea del Obispo, La",2,1679
2022,"Aldeacentenera",11,7995
2022,"Aldeanueva de la Vera",15,16777
2022,"Aldeanueva del Camino",8,14356
2022,"Aldehuela de Jerte",3,3039
2022,"Alía",5,10284
2022,"Aliseda",10,7018
2022,"Almaraz",10,8289
2022,"Almoharín",15,16470
2022,"Arroyo de la Luz",24,44366
2022,"Arroyomolinos",4,5318
2022,"Arroyomolinos de la Vera",7,4478
2022,"Baños de Montemayor",10,20222
2022,"Barrado",5,5615
2022,"Belvís de Monroy",8,4334
2022,"Benquerencia",1,1923
2022,"Berrocalejo",1,1282
2022,"Berzocana",2,0
2022,"Bohonal de Ibor",4,4628
2022,"Botija",4,3610
2022,"Brozas",9,15438
2022,"Cabañas del Castillo",5,2880
2022,"Cabezabellosa",3,7108
2022,"Cabezuela del Valle",11,10222
2022,"Cabrero",3,5296
2022,"Cáceres",480,908960
2022,"Cachorrilla",2,3300
2022,"Cadalso",4,5326
2022,"Calzadilla",2,2510
2022,"Caminomorisco",15,7288
2022,"Campillo de Deleitosa",1,0
2022,"Campo Lugar",14,13331
2022,"Cañamero",14,16445
2022,"Cañaveral",15,12599
2022,"Carbajo",5,1945
2022,"Carcaboso",11,13312
2022,"Carrascalejo",3,6046
2022,"Casar de Cáceres",7,34975
2022,"Casar de Palomero",6,7085
2022,"Casares de las Hurdes",6,2137
2022,"Casas de Don Antonio",2,1532
2022,"Casas de Don Gómez",5,3186
2022,"Casas de Millán",4,5917
2022,"Casas de Miravete",3,3175
2022,"Casas del Castañar",9,13188
2022,"Casas del Monte",8,11594
2022,"Casatejada",6,6241
2022,"Casillas de Coria",2,2094
2022,"Castañar de Ibor",5,9518
2022,"Ceclavín",8,12573
2022,"Cedillo",10,7115
2022,"Cerezo",1,1397
2022,"Cilleros",8,5488
2022,"Collado de la Vera",4,4804
2022,"Conquista de la Sierra",5,10810
2022,"Coria",64,130486
2022,"Cuacos de Yuste",13,13295
2022,"Cumbre, La",5,7357
2022,"Deleitosa",7,13990
2022,"Descargamaría",2,1954
2022,"Eljas",7,2795
2022,"Escurial",6,3322
2022,"Fresnedoso de Ibor",1,0
2022,"Galisteo",6,4391
2022,"Garciaz",4,6951
2022,"Garganta la Olla",7,7035
2022,"Garganta, La",2,3355
2022,"Gargantilla",3,1822
2022,"Gargüera",3,4034
2022,"Garrovillas de Alconétar",10,5738
2022,"Garvín",1,2164
2022,"Gata",9,8529
2022,"Gordo, El",4,4682
2022,"Granja, La",4,2573
2022,"Guadalupe",8,11792
2022,"Guijo de Coria",3,1299
2022,"Guijo de Galisteo",8,10158
2022,"Guijo de Granadilla",4,4157
2022,"Guijo de Santa Bárbara",4,6910
2022,"Herguijuela",5,4971
2022,"Hernán-Pérez",6,4706
2022,"Herrera de Alcántara",4,3057
2022,"Herreruela",4,4688
2022,"Hervás",34,87054
2022,"Higuera",1,2028
2022,"Hinojal",4,7137
2022,"Holguera",3,3529
2022,"Hoyos",7,15143
2022,"Huélaga",1,1073
2022,"Ibahernando",2,2524
2022,"Jaraicejo",9,10669
2022,"Jaraíz de la Vera",39,62709
2022,"Jarandilla de la Vera",25,43670
2022,"Jarilla",4,3700
2022,"Jerte",16,22127
2022,"Ladrillar",7,3376
2022,"Logrosán",14,5205
2022,"Losar de la Vera",16,28140
2022,"Madrigal de la Vera",13,31814
2022,"Madrigalejo",16,15281
2022,"Madroñera",13,27742
