"year","mun","cont","kg"
2023,"Barberà de la Conca",8,22490
2023,"Blancafort",9,13608
2023,"Conesa",3,6192
2023,"Espluga de Francolí, L'",23,96501
2023,"Forès",3,4260
2023,"Llorac",4,4590
2023,"Montblanc",43,246403
2023,"Passanant i Belltall",7,7765
2023,"Piles, Les",5,10027
2023,"Pira",7,20054
2023,"Pontils",9,9830
2023,"Rocafort de Queralt",4,12749
2023,"Santa Coloma de Queralt",19,62249
2023,"Sarral",11,46188
2023,"Savallà del Comtat",2,5160
2023,"Senan",2,2868
2023,"Solivella",9,19193
2023,"Vallclara",2,8134
2023,"Vallfogona de Riucorb",4,11579
2023,"Vilanova de Prades",3,11914
2023,"Vilaverd",5,14226
2023,"Vimbodí i Poblet",10,35240
