"year","mun","cont","kg"
2022,"Ababuj",1,600
2022,"Abejuela",1,2300
2022,"Aguatón",1,1200
2022,"Aguaviva",6,12780
2022,"Aguilar del Alfambra",1,500
2022,"Alacón",4,5000
2022,"Alba",1,2400
2022,"Albalate del Arzobispo",7,12760
2022,"Albarracín",5,32520
2022,"Albentosa",9,9900
2022,"Alcaine",2,2020
2022,"Alcalá de la Selva",12,24240
2022,"Alcañiz",100,255400
2022,"Alcorisa",16,32800
2022,"Alfambra",5,10980
2022,"Aliaga",7,7740
2022,"Allepuz",2,2600
2022,"Alloza",4,6240
2022,"Allueva",1,400
2022,"Almohaja",1,500
2022,"Alobras",2,2000
2022,"Alpeñés",1,1200
2022,"Anadón",2,1000
2022,"Andorra",47,64100
2022,"Arcos de las Salinas",3,5300
2022,"Arens de Lledó",2,6500
2022,"Argente",2,3300
2022,"Ariño",10,11140
2022,"Azaila",2,3200
2022,"Bádenas",1,1500
2022,"Báguena",2,6000
2022,"Bañón",2,2400
2022,"Barrachina",3,3200
2022,"Bea",2,3200
2022,"Beceite",10,27920
2022,"Bello",2,1340
2022,"Belmonte de San José",2,2200
2022,"Berge",2,4000
2022,"Bezas",1,1300
2022,"Blancas",2,1700
2022,"Blesa",2,1600
2022,"Bordón",2,3000
2022,"Bronchales",9,12800
2022,"Bueña",2,200
2022,"Burbáguena",2,7280
2022,"Cabra de Mora",1,2600
2022,"Calaceite",9,26800
2022,"Calamocha",45,75580
2022,"Calanda",15,29560
2022,"Calomarde",1,1600
2022,"Camañas",1,1100
2022,"Camarena de la Sierra",7,3000
2022,"Camarillas",1,1600
2022,"Caminreal",4,10200
2022,"Cañada de Benatanduz",2,1100
2022,"Cañada de Verich, La",3,1200
2022,"Cañada Vellida",1,500
2022,"Cañizar del Olivar",2,2200
2022,"Cantavieja",10,16800
2022,"Cascante del Río",1,1600
2022,"Castejón de Tornos",2,1300
2022,"Castel de Cabra",2,1600
2022,"Castellar, El",1,1800
2022,"Castellote",13,17240
2022,"Castelnou",1,1800
2022,"Castelserás",6,15300
2022,"Cedrillas",5,5900
2022,"Celadas",2,2000
2022,"Cella",16,33300
2022,"Cerollera, La",2,2500
2022,"Codoñera, La",3,3500
2022,"Corbalán",1,1300
2022,"Cortes de Aragón",2,800
2022,"Cosa",2,1800
2022,"Cretas",5,21780
2022,"Crivillén",2,2100
2022,"Cuba, La",2,800
2022,"Cubla",1,1200
2022,"Cucalón",2,3100
2022,"Cuervo, El",1,2300
2022,"Cuevas de Almudén",2,400
2022,"Cuevas Labradas",1,1700
2022,"Ejulve",2,2700
2022,"Escorihuela",1,1900
2022,"Escucha",3,3000
2022,"Estercuel",5,6700
2022,"Ferreruela de Huerva",3,3400
2022,"Fonfría",2,1300
2022,"Formiche Alto",4,3300
2022,"Fórnoles",1,3200
2022,"Fortanete",2,3800
2022,"Foz-Calanda",3,3200
2022,"Fresneda, La",3,16980
2022,"Frías de Albarracín",3,2200
2022,"Fuenferrada",1,600
2022,"Fuentes Calientes",1,1200
2022,"Fuentes Claras",2,7860
2022,"Fuentes de Rubielos",3,4400
2022,"Fuentespalda",5,12500
2022,"Galve",2,2800
2022,"Gargallo",2,4200
2022,"Gea de Albarracín",3,9100
2022,"Ginebrosa, La",2,3460
2022,"Griegos",1,2100
2022,"Guadalaviar",2,3800
2022,"Gúdar",3,2000
2022,"Híjar",7,22180
2022,"Hinojosa de Jarque",2,1500
2022,"Hoz de la Vieja, La",2,1300
2022,"Huesa del Común",3,3180
2022,"Iglesuela del Cid, La",6,6500
2022,"Jabaloyas",1,1000
2022,"Jarque de la Val",1,2100
2022,"Jatiel",1,100
2022,"Jorcas",1,0
2022,"Josa",1,1300
2022,"Lagueruela",1,2720
2022,"Lanzuela",1,1600
2022,"Libros",1,1200
2022,"Lidón",1,900
2022,"Linares de Mora",5,10180
2022,"Lledó",2,1800
2022,"Loscos",1,5100
2022,"Maicas",1,600
2022,"Manzanera",11,15780
2022,"Martín del Río",4,6400
2022,"Mas de las Matas",8,28560
2022,"Mata de los Olmos, La",3,2400
2022,"Mazaleón",4,9000
2022,"Mezquita de Jarque",1,1700
2022,"Mirambel",2,3000
2022,"Miravete de la Sierra",1,600
2022,"Molinos",4,4400
2022,"Monforte de Moyuela",1,900
2022,"Monreal del Campo",16,33920
2022,"Monroyo",6,9500
2022,"Montalbán",10,17020
2022,"Monteagudo del Castillo",1,1600
2022,"Monterde de Albarracín",1,2100
2022,"Mora de Rubielos",15,35900
2022,"Moscardón",1,2400
2022,"Mosqueruela",7,8880
2022,"Muniesa",7,4600
2022,"Noguera de Albarracín",1,2500
2022,"Nogueras",2,1700
2022,"Nogueruelas",4,3400
2022,"Obón",2,1700
2022,"Odón",2,1840
2022,"Ojos Negros",3,5200
2022,"Olba",7,8800
2022,"Oliete",3,10900
2022,"Olmos, Los",2,2900
2022,"Orihuela del Tremedal",5,9500
2022,"Orrios",2,3100
2022,"Palomar de Arroyos",1,1900
2022,"Pancrudo",4,3000
2022,"Parras de Castellote, Las",2,1700
2022,"Peñarroya de Tastavins",5,7900
2022,"Peracense",3,1900
2022,"Peralejos",1,800
2022,"Perales del Alfambra",6,6000
2022,"Pitarque",2,1700
2022,"Plou",1,1300
2022,"Pobo, El",1,2400
2022,"Portellada, La",4,10600
2022,"Pozondón",1,2300
2022,"Pozuel del Campo",2,1500
2022,"Puebla de Híjar, La",6,10400
2022,"Puebla de Valverde, La",10,17340
2022,"Puertomingalvo",4,5700
2022,"Ráfales",3,7000
2022,"Rillo",2,3040
2022,"Riodeva",2,800
2022,"Ródenas",1,1700
2022,"Royuela",2,3740
2022,"Rubiales",1,800
2022,"Rubielos de la Cérida",2,800
2022,"Rubielos de Mora",8,18700
2022,"Salcedillo",1,0
2022,"Saldón",1,1600
2022,"Samper de Calanda",5,7400
2022,"San Agustín",4,2000
2022,"San Martín del Río",2,1400
2022,"Santa Cruz de Nogueras",2,800
2022,"Santa Eulalia",11,16640
2022,"Sarrión",14,24140
2022,"Segura de los Baños",2,1500
2022,"Seno",1,1800
2022,"Singra",2,1000
2022,"Terriente",4,2800
2022,"Teruel",227,557220
2022,"Toril y Masegoso",1,1100
2022,"Tormón",1,200
2022,"Tornos",2,5100
2022,"Torralba de los Sisones",2,1800
2022,"Torre de Arcas",2,1300
2022,"Torre de las Arcas",1,1000
2022,"Torre del Compte",2,5800
2022,"Torre los Negros",2,1300
2022,"Torrecilla de Alcañiz",4,9420
2022,"Torrecilla del Rebollar",2,2200
2022,"Torrelacárcel",1,1700
2022,"Torremocha de Jiloca",1,600
2022,"Torres de Albarracín",2,4500
2022,"Torrevelilla",2,4700
2022,"Torrijas",3,2800
2022,"Torrijo del Campo",2,6900
2022,"Tramacastiel",2,1680
2022,"Tramacastilla",4,6280
2022,"Tronchón",3,1800
2022,"Urrea de Gaén",2,7580
2022,"Utrillas",10,13340
2022,"Valacloche",1,1200
2022,"Valbona",5,7800
2022,"Valdealgorfa",4,10300
2022,"Valdecuenca",1,800
2022,"Valdelinares",3,2300
2022,"Valdeltormo",4,9400
2022,"Valderrobres",20,72920
2022,"Valjunquera",6,10000
2022,"Vallecillo, El",2,1700
2022,"Veguillas de la Sierra",1,200
2022,"Villafranca del Campo",5,7300
2022,"Villahermosa del Campo",2,2200
2022,"Villanueva del Rebollar de la Sierra",1,1200
2022,"Villar del Cobo",2,3100
2022,"Villar del Salz",2,1200
2022,"Villarluengo",5,4620
2022,"Villarquemado",8,14400
2022,"Villarroya de los Pinares",2,2400
2022,"Villastar",2,4400
2022,"Villel",2,4100
2022,"Vinaceite",3,5920
2022,"Visiedo",2,2700
2022,"Vivel del Río Martín",1,400
2022,"Zoma, La",1,900
