"year","mun","cont","kg"
2022,"Albiol, L'",8,15414
2022,"Aleixar, L'",5,26974
2022,"Alforja",18,56284
2022,"Almoster",11,38943
2022,"Arbolí",2,3562
2022,"Argentera, L'",3,3678
2022,"Borges del Camp, Les",10,62706
2022,"Botarell",6,32170
2022,"Cambrils",272,1495320
2022,"Capafonts",2,3532
2022,"Castellvell del Camp",17,86002
2022,"Colldejou",4,5021
2022,"Duesaigües",4,6773
2022,"Febró, La",1,1139
2022,"Maspujols",5,25077
2022,"Mont-roig del Camp",241,382454
2022,"Montbrió del Camp",20,89709
2022,"Prades",11,18245
2022,"Pratdip",11,20231
2022,"Reus",450,1656080
2022,"Riudecanyes",5,37338
2022,"Riudecols",10,34973
2022,"Riudoms",32,196204
2022,"Selva del Camp, La",16,166282
2022,"Vandellòs i l'Hospitalet de l'Infant",83,197051
2022,"Vilanova d'Escornalbou",5,17340
2022,"Vilaplana",5,15764
2022,"Vinyols i els Arcs",20,65917
