"year","mun","cont","kg"
2021,"Ábalos",4,22800
2021,"Agoncillo",18,16300
2021,"Aguilar del Río Alhama",5,11700
2021,"Ajamil de Cameros",1,0
2021,"Albelda de Iregua",21,45240
2021,"Alberite",17,60760
2021,"Alcanadre",4,21800
2021,"Aldeanueva de Ebro",22,66020
2021,"Alesanco",5,18800
2021,"Alesón",3,7200
2021,"Alfaro",55,181380
2021,"Almarza de Cameros",1,900
2021,"Anguciana",7,26960
2021,"Anguiano",5,10680
2021,"Arenzana de Abajo",3,10400
2021,"Arenzana de Arriba",1,800
2021,"Arnedillo",9,31880
2021,"Arnedo",80,259620
2021,"Arrúbal",2,6100
2021,"Ausejo",5,11300
2021,"Autol",23,79160
2021,"Azofra",2,5200
2021,"Badarán",5,24800
2021,"Bañares",12,27500
2021,"Baños de Río Tobía",7,20400
2021,"Baños de Rioja",2,6400
2021,"Berceo",2,8600
2021,"Bergasa",1,4700
2021,"Bergasillas Bajera",1,1200
2021,"Bezares",1,1000
2021,"Bobadilla",1,4200
2021,"Brieva de Cameros",1,4200
2021,"Briñas",4,26060
2021,"Briones",11,28000
2021,"Cabezón de Cameros",1,1800
2021,"Calahorra",119,436800
2021,"Camprovín",1,5600
2021,"Canales de la Sierra",2,6400
2021,"Cañas",1,1880
2021,"Canillas de Río Tuerto",1,3400
2021,"Cárdenas",1,3600
2021,"Casalarreina",16,70240
2021,"Castañares de Rioja",9,36360
2021,"Castroviejo",1,1200
2021,"Cellorigo",1,1200
2021,"Cenicero",16,48140
2021,"Cervera del Río Alhama",28,44340
2021,"Cidamón",2,600
2021,"Cihuri",7,12000
2021,"Cirueña",6,13900
2021,"Clavijo",2,6400
2021,"Cordovín",1,5000
2021,"Corera",4,5400
2021,"Cornago",4,12800
2021,"Corporales",1,0
2021,"Cuzcurrita de Río Tirón",18,41820
2021,"Daroca de Rioja",2,10000
2021,"Enciso",3,11800
2021,"Entrena",9,21580
2021,"Estollo",1,4400
2021,"Ezcaray",40,136940
2021,"Foncea",3,3000
2021,"Fonzaleche",2,10000
2021,"Fuenmayor",34,109000
2021,"Galbárruli",2,1000
2021,"Galilea",2,11000
2021,"Gallinero de Cameros",1,1000
2021,"Gimileo",3,9200
2021,"Grañón",3,5200
2021,"Grávalos",4,6200
2021,"Haro",105,364260
2021,"Herce",3,5700
2021,"Herramélluri",1,6800
2021,"Hervías",2,5000
2021,"Hormilla",4,14200
2021,"Hormilleja",1,2200
2021,"Hornillos de Cameros",2,600
2021,"Hornos de Moncalvillo",1,2800
2021,"Huércanos",5,8900
2021,"Igea",5,13920
2021,"Jalón de Cameros",1,700
2021,"Laguna de Cameros",2,3000
2021,"Lagunilla del Jubera",3,5200
2021,"Lardero",54,149680
2021,"Ledesma de la Cogolla",1,2400
2021,"Leiva",3,13200
2021,"Leza de Río Leza",1,1640
2021,"Logroño",553,2836960
2021,"Lumbreras",2,4000
2021,"Manjarrés",1,2820
2021,"Mansilla de la Sierra",1,1400
2021,"Manzanares de Rioja",2,1600
2021,"Matute",1,4600
2021,"Medrano",2,9000
2021,"Munilla",2,6900
2021,"Murillo de Río Leza",7,25540
2021,"Muro de Aguas",1,2800
2021,"Muro en Cameros",1,1200
2021,"Nájera",50,163220
2021,"Nalda",8,13000
2021,"Navajún",2,0
2021,"Navarrete",24,79520
2021,"Nestares",1,2800
2021,"Nieva de Cameros",2,4200
2021,"Ochánduri",1,6600
2021,"Ocón",7,13480
2021,"Ojacastro",3,8000
2021,"Ollauri",6,17280
2021,"Ortigosa de Cameros",1,3600
2021,"Pazuengos",1,1200
2021,"Pedroso",1,3600
2021,"Pinillos",1,900
2021,"Pradejón",21,68960
2021,"Pradillo",2,5000
2021,"Préjano",2,11200
2021,"Quel",15,33800
2021,"Rabanera",1,600
2021,"Rasillo de Cameros, El",3,10700
2021,"Redal, El",2,3000
2021,"Ribafrecha",9,16000
2021,"Rincón de Soto",21,54380
2021,"Robres del Castillo",2,2600
2021,"Rodezno",2,6400
2021,"Sajazarra",3,12000
2021,"San Asensio",12,39980
2021,"San Millán de la Cogolla",3,8700
2021,"San Millán de Yécora",1,1600
2021,"San Román de Cameros",3,7300
2021,"San Torcuato",1,4600
2021,"San Vicente de la Sonsierra",12,50320
2021,"Santa Coloma",1,3400
2021,"Santa Engracia del Jubera",2,3400
2021,"Santa Eulalia Bajera",3,4200
2021,"Santo Domingo de la Calzada",60,147160
2021,"Santurde de Rioja",3,14600
2021,"Santurdejo",1,2400
2021,"Sojuela",6,15200
2021,"Sorzano",1,5200
2021,"Sotés",2,6600
2021,"Soto en Cameros",3,6100
2021,"Terroba",2,3200
2021,"Tirgo",3,7800
2021,"Tobía",1,3000
2021,"Tormantos",1,5000
2021,"Torre en Cameros",1,0
2021,"Torrecilla en Cameros",5,23700
2021,"Torrecilla sobre Alesanco",1,600
2021,"Torremontalbo",1,1000
2021,"Treviana",1,3800
2021,"Tricio",3,6000
2021,"Tudelilla",2,2600
2021,"Uruñuela",8,15060
2021,"Valdemadera",1,0
2021,"Valgañón",2,9700
2021,"Ventosa",2,5400
2021,"Ventrosa",3,3000
2021,"Viguera",4,9000
2021,"Villalba de Rioja",2,8000
2021,"Villalobar de Rioja",1,2400
2021,"Villamediana de Iregua",47,86460
2021,"Villanueva de Cameros",3,8600
2021,"Villar de Arnedo, El",3,5140
2021,"Villar de Torre",2,4140
2021,"Villarejo",1,600
2021,"Villarroya",1,400
2021,"Villarta-Quintana",3,4800
2021,"Villavelayo",1,4920
2021,"Villaverde de Rioja",1,1600
2021,"Villoslada de Cameros",2,8000
2021,"Viniegra de Abajo",5,12000
2021,"Viniegra de Arriba",1,2000
2021,"Zarratón",3,14620
2021,"Zarzosa",1,400
2021,"Zorraquín",2,7800
