"year","mun","cont","kg"
2023,"Allariz",88,235750
2023,"Amoeiro",17,22760
2023,"Arnoia, A",15,22959
2023,"Avión",19,14400
2023,"Baltar",4,14620
2023,"Bande",23,17145
2023,"Baños de Molgas",23,51652
2023,"Barbadás",61,203745
2023,"Barco de Valdeorras, O",91,170420
2023,"Beade",6,14116
2023,"Beariz",10,10400
2023,"Blancos, Os",9,13680
2023,"Boborás",18,15480
2023,"Bola, A",13,8815
2023,"Bolo, O",10,11240
2023,"Calvos de Randín",5,5820
2023,"Carballeda de Avia",19,44700
2023,"Carballeda de Valdeorras",8,6660
2023,"Carballiño, O",84,233030
2023,"Cartelle",32,41254
2023,"Castrelo de Miño",24,8980
2023,"Castrelo do Val",12,20800
2023,"Castro Caldelas",13,10780
2023,"Celanova",48,146179
2023,"Cenlle",24,42745
2023,"Chandrexa de Queixa",4,2000
2023,"Coles",22,32600
2023,"Cortegada",14,24929
2023,"Cualedro",26,22750
2023,"Entrimo",9,11305
2023,"Esgos",18,29896
2023,"Gomesende",10,13599
2023,"Gudiña, A",14,17900
2023,"Irixo, O",10,14940
2023,"Larouco",6,3260
2023,"Laza",16,33980
2023,"Leiro",28,60758
2023,"Lobeira",6,8925
2023,"Lobios",16,15283
2023,"Maceda",32,31170
2023,"Manzaneda",5,11400
2023,"Maside",23,32040
2023,"Melón",25,17100
2023,"Merca, A",31,51072
2023,"Mezquita, A",17,30920
2023,"Montederramo",6,7000
2023,"Monterrei",27,32460
2023,"Muíños",18,20087
2023,"Nogueira de Ramuín",38,70686
2023,"Oímbra",19,33800
2023,"Ourense",499,1281820
2023,"Paderne de Allariz",14,36992
2023,"Padrenda",9,13120
2023,"Parada de Sil",12,24925
2023,"Pereiro de Aguiar, O",44,71380
2023,"Peroxa, A",11,22240
2023,"Petín",8,7000
2023,"Piñor",18,20519
2023,"Pobra de Trives, A",18,21180
2023,"Pontedeva",6,10017
2023,"Porqueira",6,16340
2023,"Punxín",10,5140
2023,"Quintela de Leirado",6,7392
2023,"Rairiz de Veiga",17,10340
2023,"Ramirás",18,36415
2023,"Ribadavia",57,80880
2023,"Riós",22,26320
2023,"Rúa, A",33,56640
2023,"Rubiá",18,5000
2023,"San Amaro",12,17300
2023,"San Cibrao das Viñas",35,54680
2023,"San Cristovo de Cea",20,21080
2023,"San Xoán de Río",3,0
2023,"Sandiás",13,19820
2023,"Sarreaus",8,18440
2023,"Taboadela",14,14100
2023,"Teixeira, A",5,9460
2023,"Toén",21,18200
2023,"Trasmiras",15,23740
2023,"Veiga, A",9,4600
2023,"Verea",14,20632
2023,"Verín",104,359342
2023,"Viana do Bolo",15,14560
2023,"Vilamarín",12,20480
2023,"Vilamartín de Valdeorras",20,14000
2023,"Vilar de Barrio",14,20000
2023,"Vilar de Santos",16,3400
2023,"Vilardevós",16,26560
2023,"Vilariño de Conso",5,3960
2023,"Xinzo de Limia",72,206860
2023,"Xunqueira de Ambía",16,45680
2023,"Xunqueira de Espadanedo",12,16086
