"year","mun","cont","kg"
2023,"Abezames",1,1857
2023,"Alcañices",13,13579
2023,"Alcubilla de Nogales",3,3274
2023,"Alfaraz de Sayago",2,1734
2023,"Algodre",2,1735
2023,"Almaraz de Duero",2,2515
2023,"Almeida de Sayago",3,4391
2023,"Andavías",3,3494
2023,"Arcenillas",3,5730
2023,"Arcos de la Polvorosa",1,2226
2023,"Argañín",2,1648
2023,"Argujillo",2,2826
2023,"Arquillinos",1,2230
2023,"Arrabalde",2,3119
2023,"Aspariegos",2,1129
2023,"Asturianos",4,5894
2023,"Ayoó de Vidriales",7,7053
2023,"Barcial del Barco",3,1283
2023,"Belver de los Montes",3,3607
2023,"Benavente",96,222107
2023,"Benegiles",2,3859
2023,"Bermillo de Sayago",14,22197
2023,"Bóveda de Toro, La",6,6524
2023,"Bretó",2,2028
2023,"Bretocino",1,2922
2023,"Brime de Sog",2,2013
2023,"Brime de Urz",1,2745
2023,"Burganes de Valverde",8,12623
2023,"Bustillo del Oro",1,945
2023,"Cabañas de Sayago",2,2549
2023,"Calzadilla de Tera",2,2900
2023,"Camarzana de Tera",16,12977
2023,"Cañizal",6,8246
2023,"Cañizo",5,3893
2023,"Carbajales de Alba",5,8679
2023,"Carbellino",3,2415
2023,"Casaseca de Campeán",3,3249
2023,"Casaseca de las Chanas",2,5125
2023,"Castrillo de la Guareña",2,5186
2023,"Castrogonzalo",4,3928
2023,"Castronuevo",2,4021
2023,"Castroverde de Campos",6,14211
2023,"Cazurra",3,3497
2023,"Cerecinos de Campos",2,2392
2023,"Cerecinos del Carrizal",1,1303
2023,"Cernadilla",3,3956
2023,"Cobreros",12,7476
2023,"Coomonte",1,1921
2023,"Coreses",10,9529
2023,"Corrales del Vino",6,15373
2023,"Cotanes del Monte",3,1665
2023,"Cubillos",2,2116
2023,"Cubo de Benavente",2,2720
2023,"Cubo de Tierra del Vino, El",3,4456
2023,"Cuelgamures",1,0
2023,"Entrala",4,5957
2023,"Espadañedo",1,1573
2023,"Faramontanos de Tábara",5,10596
2023,"Fariza",6,8787
2023,"Fermoselle",14,15839
2023,"Ferreras de Abajo",7,11721
2023,"Ferreras de Arriba",4,5045
2023,"Ferreruela",7,20120
2023,"Figueruela de Arriba",10,6803
2023,"Fonfría",14,20176
2023,"Fresno de la Polvorosa",1,1216
2023,"Fresno de la Ribera",3,6121
2023,"Fresno de Sayago",3,2030
2023,"Friera de Valverde",2,393
2023,"Fuente Encalada",2,2689
2023,"Fuentelapeña",10,25697
2023,"Fuentes de Ropel",3,5191
2023,"Fuentesaúco",8,17400
2023,"Fuentesecas",1,393
2023,"Fuentespreadas",1,2373
2023,"Galende",27,35582
2023,"Gallegos del Pan",1,1539
2023,"Gallegos del Río",6,5173
2023,"Gamones",2,1995
2023,"Gema",1,2166
2023,"Granja de Moreruela",3,4924
2023,"Granucillo",2,4956
2023,"Guarrate",6,12897
2023,"Hermisende",6,8523
2023,"Hiniesta, La",2,3779
2023,"Jambrina",2,7430
2023,"Justel",3,1786
2023,"Losacino",5,1650
2023,"Losacio",3,4241
2023,"Lubián",8,9459
2023,"Luelmo",2,245
2023,"Maderal, El",2,4637
2023,"Madridanos",5,2635
2023,"Mahide",6,8432
2023,"Maire de Castroponce",1,1953
2023,"Malva",2,3687
2023,"Manganeses de la Lampreana",9,7073
2023,"Manganeses de la Polvorosa",4,9426
2023,"Manzanal de Arriba",10,12325
2023,"Manzanal de los Infantes",1,0
2023,"Manzanal del Barco",2,5173
2023,"Matilla de Arzón",4,3456
2023,"Matilla la Seca",0,0
2023,"Mayalde",4,3781
2023,"Melgar de Tera",4,3154
2023,"Micereces de Tera",6,8811
2023,"Milles de la Polvorosa",3,7659
2023,"Molacillos",1,721
2023,"Molezuelas de la Carballeda",1,2770
2023,"Mombuey",5,7057
2023,"Monfarracinos",8,8077
2023,"Montamarta",6,5729
2023,"Moral de Sayago",2,8525
2023,"Moraleja de Sayago",3,2051
2023,"Moraleja del Vino",8,16443
2023,"Morales de Rey",7,9004
2023,"Morales de Toro",11,18615
2023,"Morales de Valverde",2,523
2023,"Morales del Vino",29,38372
2023,"Moralina",3,7415
2023,"Moreruela de los Infanzones",3,2413
2023,"Moreruela de Tábara",2,2791
2023,"Muelas de los Caballeros",3,2952
2023,"Muelas del Pan",11,22663
2023,"Muga de Sayago",2,2070
2023,"Navianos de Valverde",3,5972
2023,"Olmillos de Castro",4,2234
2023,"Otero de Bodas",4,3253
2023,"Pajares de la Lampreana",3,5065
2023,"Palacios de Sanabria",3,5859
2023,"Palacios del Pan",2,3964
2023,"Pedralba de la Pradería",3,3497
2023,"Pego, El",4,3714
2023,"Peleagonzalo",1,3522
2023,"Peleas de Abajo",2,4418
2023,"Peñausende",2,2921
2023,"Peque",2,1316
2023,"Perdigón, El",7,12140
2023,"Pereruela",7,8453
2023,"Perilla de Castro",4,3007
2023,"Pías",1,1008
2023,"Piedrahita de Castro",1,1476
2023,"Piñero, El",2,2365
2023,"Pinilla de Toro",2,4194
2023,"Pino del Oro",3,4273
2023,"Pobladura de Valderaduey",1,2108
2023,"Pobladura del Valle",5,16538
2023,"Porto",5,8962
2023,"Pozoantiguo",1,1540
2023,"Pozuelo de Tábara",3,6184
2023,"Prado",1,1535
2023,"Puebla de Sanabria",20,22523
2023,"Pueblica de Valverde",4,2862
2023,"Quintanilla de Urz",5,809
2023,"Quintanilla del Monte",2,2914
2023,"Quintanilla del Olmo",1,718
2023,"Quiruelas de Vidriales",10,6546
2023,"Rabanales",5,8412
2023,"Rábano de Aliste",7,6056
2023,"Requejo",3,1631
2023,"Revellinos",2,2346
2023,"Riofrío de Aliste",5,5959
2023,"Rionegro del Puente",4,6663
2023,"Roales",8,12323
2023,"Robleda-Cervantes",5,5211
2023,"Roelos de Sayago",2,1849
2023,"Rosinos de la Requejada",5,4845
2023,"Salce",1,180
2023,"Samir de los Caños",3,4376
2023,"San Agustín del Pozo",2,2625
2023,"San Cebrián de Castro",3,2405
2023,"San Cristóbal de Entreviñas",14,5843
2023,"San Esteban del Molar",5,2319
2023,"San Justo",3,0
2023,"San Martín de Valderaduey",1,512
2023,"San Miguel de la Ribera",2,5575
2023,"San Miguel del Valle",2,4822
2023,"San Pedro de Ceque",6,10588
2023,"San Pedro de la Nave-Almendra",4,2355
2023,"San Vicente de la Cabeza",4,3787
2023,"San Vitero",8,19785
2023,"Santa Clara de Avedillo",2,3560
2023,"Santa Colomba de las Monjas",2,4715
2023,"Santa Cristina de la Polvorosa",12,17317
2023,"Santa Croya de Tera",2,3998
2023,"Santa Eufemia del Barco",2,2059
2023,"Santa María de la Vega",3,5015
2023,"Santa María de Valverde",1,0
2023,"Santibáñez de Tera",3,4624
2023,"Santibáñez de Vidriales",18,25223
2023,"Santovenia",2,3955
2023,"Sanzoles",3,2862
2023,"Tábara",7,17233
2023,"Tapioles",2,2421
2023,"Toro",67,150803
2023,"Torre del Valle, La",2,1812
2023,"Torregamones",4,11661
2023,"Torres del Carrizal",5,7458
2023,"Trabazos",12,12814
2023,"Trefacio",3,770
2023,"Uña de Quintana",2,3197
2023,"Vadillo de la Guareña",5,10557
2023,"Valcabado",2,4136
2023,"Valdefinjas",3,1951
2023,"Valdescorriel",2,4369
2023,"Vallesa de la Guareña",5,3780
2023,"Vega de Tera",5,6905
2023,"Vega de Villalobos",1,3351
2023,"Vegalatrave",2,1972
2023,"Venialbo",6,7431
2023,"Vezdemarbán",3,4013
2023,"Vidayanes",1,953
2023,"Videmala",1,764
2023,"Villabrázaro",3,5324
2023,"Villabuena del Puente",4,7868
2023,"Villadepera",2,5796
2023,"Villaescusa",3,3085
2023,"Villafáfila",4,9838
2023,"Villaferrueña",1,1579
2023,"Villageriz",1,467
2023,"Villalazán",2,5851
2023,"Villalba de la Lampreana",3,3841
2023,"Villalcampo",5,4617
2023,"Villalobos",2,4836
2023,"Villalonso",1,2584
