"year","mun","cont","kg"
2022,"Castellar del Vallès",95,467160
2022,"Gallifa",8,5340
2022,"Matadepera",4,340500
2022,"Palau-solità i Plegamans",75,401320
2022,"Polinyà",89,146160
2022,"Rellinars",9,36300
2022,"Rubí",435,1348080
2022,"Sabadell",918,3575100
2022,"Sant Llorenç Savall",20,62760
2022,"Sant Quirze del Vallès",109,399940
2022,"Santa Perpètua de Mogoda",140,432000
2022,"Sentmenat",4,177620
2022,"Terrassa",1153,4215260
2022,"Ullastrell",16,48900
2022,"Vacarisses",3,251740
2022,"Viladecavalls",131,179260
