"year","mun","cont","kg"
2021,"Acebedo",6,5608
2021,"Algadefe",6,2563
2021,"Alija del Infantado",9,16971
2021,"Almanza",7,15809
2021,"Antigua, La",8,8746
2021,"Ardón",12,15182
2021,"Arganza",17,34034
2021,"Astorga",61,173698
2021,"Balboa",2,1386
2021,"Bañeza, La",68,120099
2021,"Barjas",3,2232
2021,"Barrios de Luna, Los",6,7630
2021,"Bembibre",53,98860
2021,"Benavides",21,42557
2021,"Benuza",3,8939
2021,"Bercianos del Páramo",13,11460
2021,"Bercianos del Real Camino",3,4805
2021,"Berlanga del Bierzo",3,4026
2021,"Boca de Huérgano",15,14168
2021,"Boñar",34,41667
2021,"Borrenes",6,5619
2021,"Brazuelo",6,10870
2021,"Burgo Ranero, El",17,29661
2021,"Burón",13,13456
2021,"Bustillo del Páramo",17,21112
2021,"Cabañas Raras",16,13352
2021,"Cabreros del Río",8,10335
2021,"Cabrillanes",10,7612
2021,"Cacabelos",52,116344
2021,"Calzada del Coto",4,6657
2021,"Campazas",3,1683
2021,"Campo de Villavidel",4,3225
2021,"Camponaraya",38,64460
2021,"Candín",7,7502
2021,"Cármenes",5,2819
2021,"Carracedelo",45,69984
2021,"Carrizo",36,47564
2021,"Carrocera",10,10531
2021,"Carucedo",7,9609
2021,"Castilfalé",1,484
2021,"Castrillo de Cabrera",5,896
2021,"Castrillo de la Valduerna",2,3779
2021,"Castrocalbón",22,25425
2021,"Castrocontrigo",19,28547
2021,"Castropodame",1,0
2021,"Castrotierra de Valmadrigal",3,4009
2021,"Cea",12,9160
2021,"Cebanico",3,2521
2021,"Cebrones del Río",7,7078
2021,"Chozas de Abajo",42,60618
2021,"Cimanes de la Vega",7,6608
2021,"Cimanes del Tejar",15,20281
2021,"Cistierna",42,73179
2021,"Congosto",1,268
2021,"Corbillos de los Oteros",3,2595
2021,"Corullón",14,12988
2021,"Crémenes",13,27711
2021,"Cuadros",1,584
2021,"Cubillas de los Oteros",7,5011
2021,"Cubillas de Rueda",14,14174
2021,"Cubillos del Sil",20,26304
2021,"Destriana",7,8420
2021,"Encinedo",3,1872
2021,"Ercina, La",11,19933
2021,"Escobar de Campos",1,449
2021,"Fabero",37,50630
2021,"Folgoso de la Ribera",12,65236
2021,"Fresno de la Vega",7,8617
2021,"Fuentes de Carbajal",1,485
2021,"Garrafe de Torío",32,30751
2021,"Gordaliza del Pino",6,5660
2021,"Gordoncillo",7,12688
2021,"Gradefes",34,15722
2021,"Grajal de Campos",3,9276
2021,"Gusendos de los Oteros",3,2088
2021,"Hospital de Órbigo",24,25375
2021,"Igüeña",1,3779
2021,"Izagre",3,5323
2021,"Joarilla de las Matas",3,4245
2021,"Laguna Dalga",8,7814
2021,"Laguna de Negrillos",20,18198
2021,"León",429,2258040
2021,"Llamas de la Ribera",18,14597
2021,"Lucillo",7,4391
2021,"Luyego",8,14093
2021,"Magaz de Cepeda",6,5367
2021,"Mansilla de las Mulas",30,40957
2021,"Mansilla Mayor",6,6756
2021,"Maraña",2,7200
2021,"Matadeón de los Oteros",7,4180
