"year","mun","cont","kg"
2022,"Albons",9,36705
2022,"Begur",21,192368
2022,"Bellcaire d'Empordà",10,32837
2022,"Bisbal d'Empordà, La",47,514103
2022,"Calonge",133,539386
2022,"Castell-Platja d'Aro",300,541459
2022,"Colomers",8,9395
2022,"Corçà",14,67760
2022,"Cruïlles, Monells i Sant Sadurní de l'Heura",22,61620
2022,"Foixà",8,13264
2022,"Fontanilles",4,7507
2022,"Forallac",22,80420
2022,"Garrigoles",2,8152
2022,"Gualta",13,20218
2022,"Jafre",9,17777
2022,"Mont-ras",23,77187
2022,"Palafrugell",304,1090260
2022,"Palamós",91,835653
2022,"Palau-sator",12,15060
2022,"Pals",75,117346
2022,"Parlavà",10,19112
2022,"Pera, La",9,20172
2022,"Regencós",5,12481
2022,"Rupià",1,13816
2022,"Sant Feliu de Guíxols",72,1020054
2022,"Santa Cristina d'Aro",203,257213
2022,"Serra de Daró",4,10731
2022,"Tallada d'Empordà, La",10,22106
2022,"Torrent",6,7645
2022,"Torroella de Montgrí",220,555459
2022,"Ullà",11,55035
2022,"Ullastret",5,11514
2022,"Ultramort",4,10316
2022,"Vall-llobrega",14,42646
2022,"Verges",13,53515
2022,"Vilopriu",6,10270
