"year","mun","cont","kg"
2023,"Ajofrín",12,18738
2023,"Alameda de la Sagra",16,24984
2023,"Albarreal de Tajo",4,6246
2023,"Alcabón",3,4685
2023,"Alcañizo",2,3123
2023,"Alcaudete de la Jara",9,14054
2023,"Alcolea de Tajo",4,6246
2023,"Aldea en Cabo",2,3123
2023,"Aldeanueva de Barbarroya",3,4685
2023,"Aldeanueva de San Bartolomé",3,4685
2023,"Almendral de la Cañada",3,4685
2023,"Almonacid de Toledo",7,10931
2023,"Almorox",14,21861
2023,"Añover de Tajo",26,40600
2023,"Arcicóllar",5,7808
2023,"Argés",31,48407
2023,"Azután",2,3123
2023,"Barcience",5,7808
2023,"Bargas",38,59338
2023,"Belvís de la Jara",8,12492
2023,"Borox",14,21861
2023,"Buenaventura",4,6246
2023,"Burguillos de Toledo",14,21861
2023,"Burujón",6,9369
2023,"Cabañas de la Sagra",9,14054
2023,"Cabañas de Yepes",4,6246
2023,"Cabezamesada",3,4685
2023,"Calera y Chozas",22,34354
2023,"Caleruela",2,3123
2023,"Calzada de Oropesa",2,3123
2023,"Camarena",17,26546
2023,"Camarenilla",5,7808
2023,"Campillo de la Jara, El",4,6246
2023,"Camuñas",9,14054
2023,"Cardiel de los Montes",5,7808
2023,"Carmena",5,7808
2023,"Carpio de Tajo, El",8,12492
2023,"Carranque",41,64023
2023,"Carriches",2,3123
2023,"Casar de Escalona, El",12,18738
2023,"Casarrubios del Monte",23,35915
2023,"Casasbuenas",3,4685
2023,"Castillo de Bayuela",4,6246
2023,"Cazalegas",8,12492
2023,"Cebolla",13,20300
2023,"Cedillo del Condado",14,21861
2023,"Cerralbos, Los",2,3123
2023,"Cervera de los Montes",4,6246
2023,"Chozas de Canales",21,32792
2023,"Chueca",2,3123
2023,"Ciruelos",5,7808
2023,"Cobeja",11,17177
2023,"Cobisa",23,35915
2023,"Consuegra",45,70269
2023,"Corral de Almaguer",25,39038
2023,"Cuerva",11,17177
2023,"Domingo Pérez",2,3123
2023,"Dosbarrios",14,21861
2023,"Erustes",2,3123
2023,"Escalona",23,35915
2023,"Escalonilla",7,10931
2023,"Espinoso del Rey",5,7808
2023,"Esquivias",29,45284
2023,"Estrella, La",3,4685
2023,"Fuensalida",32,49969
2023,"Gálvez",17,26546
2023,"Garciotum",1,1562
2023,"Gerindote",13,20300
2023,"Guadamur",12,18738
2023,"Guardia, La",17,26546
2023,"Herencias, Las",6,9369
2023,"Herreruela de Oropesa",4,6246
2023,"Hinojosa de San Vicente",2,3123
2023,"Hontanar",2,3123
2023,"Hormigos",5,7808
2023,"Huecas",7,10931
2023,"Huerta de Valdecarábanos",10,15615
2023,"Iglesuela, La",4,6246
2023,"Illescas",132,206122
2023,"Lagartera",8,12492
2023,"Layos",6,9369
2023,"Lillo",11,17177
2023,"Lominchar",8,12492
2023,"Lucillos",4,6246
2023,"Madridejos",51,79638
2023,"Magán",11,17177
2023,"Malpica de Tajo",6,9369
2023,"Manzaneque",4,6246
2023,"Maqueda",7,10931
2023,"Marjaliza",3,4685
2023,"Marrupe",2,3123
2023,"Mascaraque",3,4685
2023,"Mata, La",6,9369
2023,"Mazarambroz",7,10931
2023,"Mejorada",7,10931
2023,"Menasalbas",13,20300
2023,"Méntrida",29,45284
2023,"Mesegar de Tajo",1,1562
2023,"Miguel Esteban",18,45480
2023,"Mocejón",20,31231
2023,"Mohedas de la Jara",2,3123
2023,"Montearagón",4,6246
2023,"Montesclaros",3,4685
2023,"Mora",38,59338
2023,"Nambroca",23,35915
2023,"Nava de Ricomalillo, La",3,4685
2023,"Navahermosa",20,31231
2023,"Navalcán",11,17177
2023,"Navalmoralejo",1,1562
2023,"Navalmorales, Los",14,21861
2023,"Navalucillos, Los",16,24984
2023,"Navamorcuende",3,4685
2023,"Noblejas",23,35915
2023,"Noez",4,6246
2023,"Nombela",8,12492
2023,"Novés",14,21861
2023,"Numancia de la Sagra",23,35915
2023,"Nuño Gómez",2,3123
2023,"Ocaña",29,45284
2023,"Olías del Rey",36,56215
2023,"Ontígola",30,46846
2023,"Orgaz",16,24984
2023,"Oropesa",14,21861
2023,"Otero",2,3123
2023,"Palomeque",6,9369
2023,"Pantoja",16,24984
2023,"Paredes de Escalona",1,1562
2023,"Parrillas",3,4685
2023,"Pelahustán",2,3123
2023,"Pepino",16,24984
2023,"Polán",16,24984
2023,"Portillo de Toledo",9,14054
2023,"Puebla de Almoradiel, La",34,47010
2023,"Puebla de Montalbán, La",34,53092
2023,"Pueblanueva, La",11,17177
2023,"Puente del Arzobispo, El",6,9369
2023,"Puerto de San Vicente",4,6246
2023,"Pulgar",7,10931
2023,"Quero",9,9340
2023,"Quintanar de la Orden",44,105070
2023,"Quismondo",11,17177
2023,"Real de San Vicente, El",6,9369
2023,"Recas",16,24984
2023,"Retamoso de la Jara",1,1562
2023,"Rielves",5,7808
2023,"Robledo del Mazo",8,12492
2023,"Romeral, El",4,6246
2023,"San Bartolomé de las Abiertas",5,7808
2023,"San Martín de Montalbán",4,6246
2023,"San Martín de Pusa",3,4685
2023,"San Pablo de los Montes",9,14054
2023,"San Román de los Montes",7,10931
2023,"Santa Ana de Pusa",5,7808
2023,"Santa Cruz de la Zarza",23,35915
2023,"Santa Cruz del Retamar",17,26546
2023,"Santa Olalla",21,32792
2023,"Santo Domingo-Caudilla",5,7808
2023,"Sartajada",3,4685
2023,"Segurilla",6,9369
2023,"Seseña",92,143661
2023,"Sevilleja de la Jara",7,10931
2023,"Sonseca",40,62461
2023,"Sotillo de las Palomas",2,3123
2023,"Talavera de la Reina",301,640800
2023,"Tembleque",14,21861
2023,"Toboso, El",10,15790
2023,"Toledo",211,862920
2023,"Torralba de Oropesa",4,6246
2023,"Torre de Esteban Hambrán, La",5,7808
2023,"Torrecilla de la Jara",12,18738
2023,"Torrico",7,10931
2023,"Torrijos",58,90569
2023,"Totanés",4,6246
2023,"Turleque",4,6246
2023,"Ugena",41,64023
2023,"Urda",16,24984
2023,"Valdeverdeja",5,7808
2023,"Valmojado",26,40600
2023,"Velada",11,17177
2023,"Ventas con Peña Aguilera, Las",8,12492
2023,"Ventas de Retamosa, Las",14,21861
2023,"Ventas de San Julián, Las",2,3123
2023,"Villa de Don Fadrique, La",21,32792
2023,"Villacañas",32,89400
2023,"Villafranca de los Caballeros",32,46360
2023,"Villaluenga de la Sagra",21,32792
2023,"Villamiel de Toledo",4,6246
2023,"Villaminaya",3,4685
2023,"Villamuelas",3,4685
2023,"Villanueva de Alcardete",22,34354
2023,"Villanueva de Bogas",5,7808
2023,"Villarejo de Montalbán",2,3123
2023,"Villarrubia de Santiago",18,28108
2023,"Villaseca de la Sagra",16,24984
2023,"Villasequilla",12,18738
2023,"Villatobas",12,18738
2023,"Viso de San Juan, El",53,82761
2023,"Yébenes, Los",19,29669
2023,"Yeles",21,32792
2023,"Yepes",18,28108
2023,"Yuncler",25,39038
2023,"Yunclillos",4,6246
2023,"Yuncos",51,79638
