"year","mun","cont","kg"
2021,"Abenójar",9,18357
2021,"Agudo",7,12483
2021,"Alamillo",4,4382
2021,"Albaladejo",3,10877
2021,"Alcázar de San Juan",109,284620
2021,"Alcoba",5,6755
2021,"Alcolea de Calatrava",7,14437
2021,"Alcubillas",5,6914
2021,"Aldea del Rey",10,19616
2021,"Alhambra",6,9799
2021,"Almadén",19,34419
2021,"Almadenejos",2,1223
2021,"Almagro",51,136582
2021,"Almedina",6,5544
2021,"Almodóvar del Campo",37,82216
2021,"Almuradiel",10,15902
2021,"Anchuras",3,2946
2021,"Arenales de San Gregorio",3,5330
2021,"Arenas de San Juan",6,9620
2021,"Argamasilla de Alba",25,63770
2021,"Argamasilla de Calatrava",31,83641
2021,"Arroba de los Montes",4,9181
2021,"Ballesteros de Calatrava",6,7709
2021,"Bolaños de Calatrava",63,182007
2021,"Brazatortas",5,18474
2021,"Cabezarados",2,4026
2021,"Cabezarrubias del Puerto",4,5333
2021,"Calzada de Calatrava",15,30281
2021,"Campo de Criptana",53,123260
2021,"Cañada de Calatrava",4,2944
2021,"Caracuel de Calatrava",1,748
2021,"Carrión de Calatrava",30,84552
2021,"Carrizosa",5,13598
2021,"Castellar de Santiago",13,31985
2021,"Chillón",7,14013
2021,"Ciudad Real",277,1224894
2021,"Corral de Calatrava",10,17847
2021,"Cortijos, Los",6,10117
2021,"Cózar",8,20173
2021,"Daimiel",77,309435
2021,"Fernán Caballero",8,16996
2021,"Fontanarejo",3,1885
2021,"Fuencaliente",10,13142
2021,"Fuenllana",3,7225
2021,"Fuente el Fresno",10,38348
2021,"Granátula de Calatrava",5,8623
2021,"Guadalmez",3,3448
2021,"Herencia",32,79290
2021,"Hinojosas de Calatrava",4,6851
2021,"Horcajo de los Montes",7,22813
2021,"Labores, Las",3,5250
2021,"Llanos del Caudillo",6,14448
2021,"Luciana",3,6088
2021,"Malagón",45,100134
2021,"Manzanares",102,316663
2021,"Membrilla",21,129708
2021,"Mestanza",3,7945
2021,"Miguelturra",66,318114
2021,"Montiel",8,14422
2021,"Moral de Calatrava",20,44586
2021,"Navalpino",3,7231
2021,"Navas de Estena",3,8605
2021,"Pedro Muñoz",28,68250
2021,"Picón",6,8224
2021,"Piedrabuena",20,72279
2021,"Poblete",18,50387
2021,"Porzuna",13,32878
2021,"Pozuelo de Calatrava",16,54378
2021,"Pozuelos de Calatrava, Los",3,5804
2021,"Puebla de Don Rodrigo",6,9706
2021,"Puebla del Príncipe",5,8082
2021,"Puerto Lápice",7,8290
2021,"Puertollano",195,425120
2021,"Retuerta del Bullaque",7,11765
2021,"Robledo, El",14,19334
2021,"Ruidera",13,20991
2021,"Saceruela",14,8216
2021,"San Carlos del Valle",7,28604
2021,"San Lorenzo de Calatrava",3,3394
2021,"Santa Cruz de los Cáñamos",6,7065
2021,"Santa Cruz de Mudela",38,94215
2021,"Socuéllamos",48,112430
2021,"Solana del Pino",4,6464
2021,"Solana, La",63,208573
2021,"Terrinches",5,7890
2021,"Tomelloso",117,335270
2021,"Torralba de Calatrava",22,45482
2021,"Torre de Juan Abad",8,10611
2021,"Torrenueva",17,49428
2021,"Valdemanco del Esteras",2,3525
2021,"Valdepeñas",205,629421
2021,"Valenzuela de Calatrava",5,11261
2021,"Villahermosa",16,33469
2021,"Villamanrique",8,14164
2021,"Villamayor de Calatrava",5,9625
2021,"Villanueva de la Fuente",10,21698
2021,"Villanueva de los Infantes",30,82066
2021,"Villanueva de San Carlos",4,5667
2021,"Villar del Pozo",1,1632
2021,"Villarrubia de los Ojos",41,172742
2021,"Villarta de San Juan",12,25370
2021,"Viso del Marqués",27,34224
