"year","mun","cont","kg"
2023,"Alaró",5,202354
2023,"Alcúdia",156,1147268
2023,"Algaida",3,203559
2023,"Andratx",138,915165
2023,"Ariany",2,47090
2023,"Artà",0,422671
2023,"Banyalbufar",0,31520
2023,"Binissalem",8,282134
2023,"Búger",2,35016
2023,"Bunyola",6,206080
2023,"Calvià",382,3641696
2023,"Campanet",9,74523
2023,"Campos",41,470272
2023,"Capdepera",103,1079914
2023,"Consell",4,108982
2023,"Costitx",2,36191
2023,"Deià",18,113340
2023,"Escorca",27,33828
2023,"Esporles",2,139640
2023,"Estellencs",9,30641
2023,"Felanitx",62,536892
2023,"Fornalutx",9,69320
2023,"Inca",84,660908
2023,"Lloret de Vistalegre",2,45973
2023,"Lloseta",5,147462
2023,"Llubí",5,102922
2023,"Llucmajor",164,924157
2023,"Manacor",224,1087877
2023,"Mancor de la Vall",2,32610
2023,"Maria de la Salut",0,66031
2023,"Marratxí",140,598087
2023,"Montuïri",3,101895
2023,"Muro",43,578267
2023,"Palma",1291,10791680
2023,"Petra",2,79167
2023,"Pobla, Sa",55,250096
2023,"Pollença",94,1101617
2023,"Porreres",3,150920
2023,"Puigpunyent",0,84620
2023,"Salines, Ses",60,330997
2023,"Sant Joan",3,57793
2023,"Sant Llorenç des Cardassar",93,822097
2023,"Santa Eugènia",2,61882
2023,"Santa Margalida",81,617160
2023,"Santa María del Camí",11,224341
2023,"Santanyí",156,1089737
2023,"Selva",8,131857
2023,"Sencelles",4,104775
2023,"Sineu",3,122307
2023,"Sóller",194,689520
2023,"Son Servera",25,536160
2023,"Valldemossa",7,116760
2023,"Vilafranca de Bonany",2,86556
