"year","mun","cont","kg"
2021,"Agramunt",61,152072
2021,"Anglesola",16,29815
2021,"Belianes",4,15406
2021,"Bellpuig",33,85874
2021,"Castellserà",8,23106
2021,"Ciutadilla",2,5164
2021,"Fuliola, La",12,20112
2021,"Guimerà",3,7925
2021,"Maldà",3,5829
2021,"Nalec",1,2521
2021,"Omells de na Gaia, Els",2,5198
2021,"Ossó de Sió",4,5327
2021,"Preixana",6,7284
2021,"Puigverd d'Agramunt",3,3587
2021,"Sant Martí de Riucorb",8,15556
2021,"Tàrrega",68,287138
2021,"Tornabous",11,25453
2021,"Vallbona de les Monges",7,17443
2021,"Verdú",9,20903
2021,"Vilagrassa",8,17068
