"year","mun","cont","kg"
2021,"Abáigar",2,4390
2021,"Abárzuza/Abartzuza",3,9561
2021,"Abaurregaina/Abaurrea Alta",3,5778
2021,"Abaurrepea/Abaurrea Baja",1,1652
2021,"Aberin",4,11174
2021,"Ablitas",21,22880
2021,"Adiós",3,6800
2021,"Aguilar de Codés",2,4562
2021,"Aibar/Oibar",8,33797
2021,"Allín/Allin",15,18227
2021,"Allo",8,31092
2021,"Altsasu/Alsasua",41,155264
2021,"Améscoa Baja",10,28464
2021,"Ancín/Antzin",7,20175
2021,"Andosilla",16,57489
2021,"Añorbe",9,11437
2021,"Ansoáin/Antsoain",65,189232
2021,"Anue",18,18337
2021,"Aoiz/Agoitz",29,58415
2021,"Araitz",11,18949
2021,"Arakil",13,24803
2021,"Aranarache/Aranaratxe",1,2720
2021,"Aranguren",136,269387
2021,"Arano",3,3251
2021,"Arantza",8,15915
2021,"Aras",3,3713
2021,"Arbizu",9,41086
2021,"Arce/Artzi",10,12721
2021,"Arcos, Los",12,42832
2021,"Arellano",2,5689
2021,"Areso",2,3090
2021,"Arguedas",18,29838
2021,"Aria",1,691
2021,"Aribe",1,2548
2021,"Armañanzas",1,2640
2021,"Arróniz",8,33456
2021,"Arruazu",2,5625
2021,"Artajona",24,58964
2021,"Artazu",2,4885
2021,"Atez/Atetz",11,18505
2021,"Auritz/Burguete",7,20502
2021,"Ayegui/Aiegi",20,70352
2021,"Azagra",33,82095
2021,"Azuelo",1,2959
2021,"Bakaiku",2,12858
2021,"Barañáin/Barañain",104,512012
2021,"Barásoain",11,20649
2021,"Barbarin",1,2712
2021,"Bargota",3,9416
2021,"Barillas",3,3345
2021,"Basaburua",25,34124
2021,"Baztan",116,303923
2021,"Beintza-Labaien",5,6016
2021,"Beire",7,10984
2021,"Belascoáin",5,7995
2021,"Bera",45,176365
2021,"Berbinzana",9,27974
2021,"Beriáin",43,94420
2021,"Berrioplano/Berriobeiti",94,172712
2021,"Berriozar",88,257568
2021,"Bertizarana",11,15719
2021,"Betelu",6,16677
2021,"Bidaurreta",2,6478
2021,"Biurrun-Olcoz",9,9548
2021,"Buñuel",21,39697
2021,"Burgui/Burgi",5,11046
2021,"Burlada/Burlata",113,334397
2021,"Busto, El",2,1983
2021,"Cabanillas",10,13724
2021,"Cabredo",1,1935
2021,"Cadreita",17,38742
2021,"Caparroso",36,57970
2021,"Cárcar",10,24569
2021,"Carcastillo",40,61115
2021,"Cascante",27,63553
2021,"Cáseda",13,23819
2021,"Castejón",23,49330
2021,"Castillonuevo",1,653
2021,"Cendea de Olza/Oltza Zendea",33,66409
2021,"Cintruénigo",71,126884
2021,"Cirauqui/Zirauki",9,18003
2021,"Ciriza/Ziritza",3,6073
2021,"Cizur",47,76673
2021,"Corella",57,128903
2021,"Cortes",25,32715
2021,"Desojo",2,3514
2021,"Dicastillo",4,21401
2021,"Donamaria",9,16580
2021,"Doneztebe/Santesteban",19,68371
2021,"Echarri/Etxarri",2,4063
2021,"Elgorriaga",3,6797
2021,"Enériz/Eneritz",8,12436
2021,"Eratsun",3,7391
2021,"Ergoiena",6,10861
2021,"Erro",23,48492
2021,"Eslava",3,3072
2021,"Esparza de Salazar/Espartza Zaraitzu",3,10451
2021,"Espronceda",2,3865
2021,"Estella-Lizarra",66,387816
2021,"Esteribar",67,83128
2021,"Etayo",2,3689
2021,"Etxalar",13,33710
2021,"Etxarri Aranatz",16,75969
2021,"Etxauri",15,29932
2021,"Eulate",2,8723
2021,"Ezcabarte",31,36792
2021,"Ezcároz/Ezkaroze",4,9051
2021,"Ezkurra",1,2553
2021,"Ezprogui",2,45
2021,"Falces",29,58232
2021,"Fitero",25,50738
2021,"Fontellas",14,26734
2021,"Funes",23,53404
2021,"Fustiñana",20,25859
2021,"Galar",50,126450
2021,"Gallipienzo/Galipentzu",6,12486
2021,"Gallués/Galoze",5,2576
2021,"Garaioa",3,6339
2021,"Garde",4,12729
2021,"Garínoain",8,17049
2021,"Garralda",3,14460
2021,"Genevilla",2,1422
2021,"Goizueta",7,22300
2021,"Goñi",8,11770
2021,"Güesa/Gorza",3,3633
2021,"Guesálaz/Gesalatz",22,23675
2021,"Guirguillano",3,4028
2021,"Hiriberri/Villanueva de Aezkoa",3,2836
2021,"Huarte/Uharte",61,112343
2021,"Ibargoiti",5,5468
2021,"Igantzi",9,19155
2021,"Igúzquiza",6,18502
2021,"Imotz",17,17456
2021,"Irañeta",1,2695
2021,"Irurtzun",16,37450
