"year","mun","cont","kg"
2022,"Plasencia de Jalón",4,3300
2022,"Pleitas",1,1100
2022,"Plenas",3,4000
2022,"Pomer",1,300
2022,"Pozuel de Ariza",1,600
2022,"Pozuelo de Aragón",0,0
2022,"Pradilla de Ebro",3,4400
2022,"Puebla de Albortón",2,0
2022,"Puebla de Alfindén, La",27,52760
2022,"Puendeluna",2,400
2022,"Purujosa",1,300
2022,"Quinto",14,17600
2022,"Remolinos",6,26720
2022,"Retascón",2,1600
2022,"Ricla",14,21780
2022,"Romanos",3,2000
2022,"Rueda de Jalón",2,2700
2022,"Ruesca",1,2000
2022,"Sabiñán",6,5200
2022,"Sádaba",11,31320
2022,"Salillas de Jalón",2,2800
2022,"Salvatierra de Esca",5,7500
2022,"Samper del Salz",1,400
2022,"San Martín de la Virgen de Moncayo",3,8000
2022,"San Mateo de Gállego",20,40060
2022,"Santa Cruz de Grío",1,2700
2022,"Santa Cruz de Moncayo",2,5040
2022,"Santa Eulalia de Gállego",2,2400
2022,"Santed",1,600
2022,"Sástago",10,14940
2022,"Sediles",1,2100
2022,"Sestrica",3,3400
2022,"Sierra de Luna",2,1600
2022,"Sigüés",5,4500
2022,"Sisamón",1,400
2022,"Sobradiel",8,15500
2022,"Sos del Rey Católico",6,15020
2022,"Tabuenca",0,0
2022,"Talamantes",0,0
2022,"Tarazona",58,175820
2022,"Tauste",28,65660
2022,"Terrer",4,7400
2022,"Tierga",1,900
2022,"Tobed",1,2200
2022,"Torralba de los Frailes",2,2200
2022,"Torralba de Ribota",2,2800
2022,"Torralbilla",1,1500
2022,"Torrehermosa",1,1200
2022,"Torrelapaja",1,2200
2022,"Torrellas",2,3700
2022,"Torres de Berrellén",5,21700
2022,"Torrijo de la Cañada",2,3000
2022,"Tosos",4,3700
2022,"Trasmoz",2,2900
2022,"Trasobares",2,1900
2022,"Uncastillo",8,21720
2022,"Undués de Lerda",2,1200
2022,"Urrea de Jalón",3,3100
2022,"Urriés",3,2200
2022,"Used",3,7100
2022,"Utebo",53,187300
2022,"Val de San Martín",1,1600
2022,"Valdehorna",1,1000
2022,"Valmadrid",2,0
2022,"Valpalmas",2,3400
2022,"Valtorres",2,2500
2022,"Velilla de Ebro",2,2000
2022,"Velilla de Jiloca",1,3800
2022,"Vera de Moncayo",3,6420
2022,"Vierlas",2,1400
2022,"Villadoz",2,2400
2022,"Villafeliche",1,2200
2022,"Villafranca de Ebro",6,18800
2022,"Villalba de Perejil",1,1100
2022,"Villalengua",2,2500
2022,"Villamayor de Gállego",12,32120
2022,"Villanueva de Gállego",25,66160
2022,"Villanueva de Huerva",7,10680
2022,"Villanueva de Jiloca",1,1000
2022,"Villar de los Navarros",2,2100
2022,"Villarreal de Huerva",2,2200
2022,"Villarroya de la Sierra",4,7460
2022,"Villarroya del Campo",1,2500
2022,"Vilueña, La",2,1900
2022,"Vistabella",2,2900
2022,"Zaida, La",5,6400
2022,"Zaragoza",1954,9216580
2022,"Zuera",53,120860
