"year","mun","cont","kg"
2021,"Acedera",6,7070
2021,"Aceuchal",37,26098
2021,"Ahillones",6,6308
2021,"Alange",13,12843
2021,"Albuera, La",10,15085
2021,"Alburquerque",34,50853
2021,"Alconchel",9,10948
2021,"Alconera",4,5044
2021,"Aljucén",6,4529
2021,"Almendral",6,6370
2021,"Almendralejo",182,325864
2021,"Arroyo de San Serván",27,27541
2021,"Atalaya",3,2908
2021,"Azuaga",42,50838
2021,"Badajoz",519,1578000
2021,"Barcarrota",11,16082
2021,"Baterno",2,2522
2021,"Benquerencia de la Serena",11,11237
2021,"Berlanga",18,16064
2021,"Bienvenida",10,22609
2021,"Bodonal de la Sierra",8,15919
2021,"Burguillos del Cerro",24,42967
2021,"Cabeza del Buey",25,42732
2021,"Cabeza la Vaca",10,27456
2021,"Calamonte",40,35538
2021,"Calera de León",9,12982
2021,"Calzadilla de los Barros",4,2599
2021,"Campanario",32,26230
2021,"Campillo de Llerena",2,3822
2021,"Capilla",1,1083
2021,"Carmonita",3,849
2021,"Carrascalejo, El",4,3217
2021,"Casas de Don Pedro",10,11258
2021,"Casas de Reina",2,3104
2021,"Castilblanco",6,11555
2021,"Castuera",34,22255
2021,"Cheles",5,4367
2021,"Codosera, La",13,18155
2021,"Cordobilla de Lácara",6,8210
2021,"Coronada, La",18,3024
2021,"Corte de Peleas",7,5880
2021,"Cristina",2,2531
2021,"Don Álvaro",5,6021
2021,"Don Benito",209,301585
2021,"Entrín Bajo",5,5747
2021,"Esparragalejo",6,4903
2021,"Esparragosa de la Serena",5,6743
2021,"Esparragosa de Lares",3,940
2021,"Feria",7,4255
2021,"Fregenal de la Sierra",19,70339
2021,"Fuenlabrada de los Montes",16,13605
2021,"Fuente de Cantos",34,47315
2021,"Fuente del Arco",8,7235
2021,"Fuente del Maestre",32,56647
2021,"Fuentes de León",7,21176
2021,"Garbayuela",2,1583
2021,"Garlitos",2,1896
2021,"Garrovilla, La",15,8628
2021,"Granja de Torrehermosa",11,10222
2021,"Guadiana",12,11735
2021,"Guareña",28,42428
2021,"Haba, La",9,9354
2021,"Helechosa de los Montes",4,3044
2021,"Herrera del Duque",17,12878
2021,"Higuera de la Serena",5,5715
2021,"Higuera de Llerena",3,1459
2021,"Higuera de Vargas",9,7237
2021,"Higuera la Real",14,29490
2021,"Hinojosa del Valle",6,2437
2021,"Hornachos",22,17494
2021,"Jerez de los Caballeros",64,92958
2021,"Lapa, La",5,1143
2021,"Llera",5,6565
2021,"Llerena",30,53490
2021,"Lobón",15,14099
2021,"Magacela",2,1508
2021,"Maguilla",5,4849
2021,"Malcocinado",3,3690
2021,"Malpartida de la Serena",5,5044
2021,"Manchita",5,2532
2021,"Medellín",20,26088
2021,"Medina de las Torres",12,8565
2021,"Mengabril",4,3796
2021,"Mérida",256,515362
2021,"Mirandilla",6,8117
2021,"Monesterio",35,53919
2021,"Montemolín",15,23461
2021,"Monterrubio de la Serena",15,12747
2021,"Montijo",76,140410
2021,"Morera, La",3,2699
2021,"Nava de Santiago, La",13,18952
2021,"Navalvillar de Pela",27,24987
2021,"Nogales",3,3498
2021,"Oliva de la Frontera",23,27991
2021,"Oliva de Mérida",8,4493
2021,"Olivenza",53,93867
2021,"Orellana de la Sierra",1,425
2021,"Orellana la Vieja",17,16262
2021,"Palomas",5,1991
2021,"Parra, La",7,3261
2021,"Peñalsordo",4,4603
2021,"Peraleda del Zaucejo",10,7520
2021,"Puebla de Alcocer",7,5703
2021,"Puebla de la Calzada",32,38796
2021,"Puebla de la Reina",8,6252
2021,"Puebla de Obando",16,12030
2021,"Puebla de Sancho Pérez",22,21903
2021,"Puebla del Maestre",5,7566
2021,"Puebla del Prior",6,3434
2021,"Pueblonuevo del Guadiana",11,17366
2021,"Quintana de la Serena",29,22216
2021,"Reina",2,2149
2021,"Rena",4,2207
2021,"Retamal de Llerena",3,1397
2021,"Ribera del Fresno",31,23245
2021,"Risco",1,975
2021,"Roca de la Sierra, La",12,15671
2021,"Salvaleón",15,9047
2021,"Salvatierra de los Barros",4,7398
2021,"San Pedro de Mérida",7,5225
2021,"San Vicente de Alcántara",36,75876
2021,"Sancti-Spíritus",1,541
2021,"Santa Amalia",20,20489
2021,"Santa Marta",22,42765
2021,"Santos de Maimona, Los",55,98700
2021,"Segura de León",5,18961
2021,"Siruela",9,11882
2021,"Solana de los Barros",15,14685
2021,"Talarrubias",22,11456
2021,"Talavera la Real",33,48211
2021,"Táliga",6,1316
2021,"Tamurejo",3,1755
2021,"Torre de Miguel Sesmero",4,4901
2021,"Torremayor",4,5779
2021,"Torremejía",11,8574
2021,"Trasierra",4,3264
2021,"Trujillanos",4,5593
2021,"Usagre",5,5083
2021,"Valdecaballeros",5,14705
2021,"Valdelacalzada",11,19882
2021,"Valdetorres",8,5125
2021,"Valencia de las Torres",2,2208
2021,"Valencia del Mombuey",7,5455
