"year","mun","cont","kg"
2022,"Agaete",49,103320
2022,"Agüimes",186,420030
2022,"Aldea de San Nicolás, La",57,80830
2022,"Artenara",16,15020
2022,"Arucas",245,462230
2022,"Firgas",55,105770
2022,"Gáldar",136,228000
2022,"Ingenio",193,336400
2022,"Mogán",251,1846180
2022,"Moya",63,91600
2022,"Palmas de Gran Canaria, Las",1475,5890000
2022,"San Bartolomé de Tirajana",582,4161940
2022,"Santa Brígida",98,231820
2022,"Santa Lucía de Tirajana",300,696130
2022,"Santa María de Guía de Gran Canaria",71,109730
2022,"Tejeda",31,35050
2022,"Telde",601,1069120
2022,"Teror",78,122620
2022,"Valleseco",29,47170
2022,"Valsequillo de Gran Canaria",54,95070
2022,"Vega de San Mateo",50,75490
