"year","mun","cont","kg"
2023,"Agost",32,67610
2023,"Agres",6,18111
2023,"Aigües",11,26516
2023,"Albatera",64,133761
2023,"Alcalalí",23,63390
2023,"Alcocer de Planes",3,4161
2023,"Alcoleja",5,7480
2023,"Alcoy/Alcoi",190,1022470
2023,"Alfafara",3,16025
2023,"Alfàs del Pi, l'",164,761855
2023,"Algorfa",32,118742
2023,"Algueña",17,26269
2023,"Alicante/Alacant",1514,6345103
2023,"Almoradí",114,226495
2023,"Almudaina",1,2972
2023,"Alqueria d'Asnar, l'",3,8792
2023,"Altea",168,1032905
2023,"Aspe",77,243761
2023,"Atzúbia, l'",6,29535
2023,"Balones",1,3813
2023,"Banyeres de Mariola",48,185277
2023,"Benasau",3,7783
2023,"Beneixama",12,31386
2023,"Benejúzar",39,66268
2023,"Benferri",13,19864
2023,"Beniarbeig",20,79651
2023,"Beniardá",3,5741
2023,"Beniarrés",8,44790
2023,"Benidoleig",11,49708
2023,"Benidorm",460,3835665
2023,"Benifallim",2,4161
2023,"Benifato",2,5868
2023,"Benigembla",5,19856
2023,"Benijófar",44,129157
2023,"Benilloba",5,16844
2023,"Benillup",2,4508
2023,"Benimantell",14,22212
2023,"Benimarfull",3,12672
2023,"Benimassot",2,3746
2023,"Benimeli",3,8549
2023,"Benissa",108,546512
2023,"Benitachell/Poble Nou de Benitatxell, el",48,236727
2023,"Biar",24,60033
2023,"Bigastro",51,72307
2023,"Bolulla",4,12025
2023,"Busot",35,84653
2023,"Callosa d'en Sarrià",31,74989
2023,"Callosa de Segura",72,103618
2023,"Calp",256,1372740
2023,"Campello, el",239,987302
2023,"Campo de Mirra/Camp de Mirra, el",3,7549
2023,"Cañada",7,16308
2023,"Castalla",67,190442
2023,"Castell de Castells",2,20489
2023,"Castell de Guadalest, el",6,23653
2023,"Catral",48,72636
2023,"Cocentaina",84,256910
2023,"Confrides",7,8824
2023,"Cox",46,67382
2023,"Crevillent",154,310771
2023,"Daya Nueva",17,31369
2023,"Daya Vieja",9,17544
2023,"Dénia",393,1835989
2023,"Dolores",35,55803
2023,"Elche/Elx",954,3137796
2023,"Elda",239,580458
2023,"Facheca",1,5159
2023,"Famorca",1,2220
2023,"Finestrat",85,198036
2023,"Fondó de les Neus, el/Hondón de las Nieves",26,13588
2023,"Formentera del Segura",22,105208
2023,"Gaianes",6,17797
2023,"Gata de Gorgos",43,150447
2023,"Gorga",1,4295
2023,"Granja de Rocamora",20,21466
2023,"Guardamar del Segura",167,632041
2023,"Hondón de los Frailes",15,33804
2023,"Ibi",95,380909
2023,"Jacarilla",16,32060
2023,"Jávea/Xàbia",244,1890006
2023,"Jijona/Xixona",51,118531
2023,"Llíber",12,37009
2023,"Lorcha/Orxa, l'",5,26096
2023,"Millena",1,2355
2023,"Monforte del Cid",63,93110
2023,"Monóvar/Monòver",79,154385
2023,"Montesinos, Los",57,98250
2023,"Murla",6,27972
2023,"Muro de Alcoy",66,186696
2023,"Mutxamel",149,389093
2023,"Novelda",133,283507
2023,"Nucia, la",115,247487
2023,"Ondara",44,161459
2023,"Onil",40,133503
2023,"Orba",5,107420
2023,"Orihuela",842,2760806
2023,"Orxeta",10,27807
2023,"Parcent",9,39955
2023,"Pedreguer",38,274580
2023,"Pego",88,269715
2023,"Penàguila",3,13480
2023,"Petrer",186,468827
2023,"Pilar de la Horadada",222,752925
2023,"Pinós, el/Pinoso",67,143784
2023,"Planes",11,25434
2023,"Poblets, els",38,172418
2023,"Polop",46,96394
2023,"Quatretondeta",1,5820
2023,"Rafal",30,46175
2023,"Ràfol d'Almúnia, el",8,19175
2023,"Redován",38,51129
2023,"Relleu",11,24032
2023,"Rojales",183,560327
2023,"Romana, la",14,31476
2023,"Sagra",3,16820
2023,"Salinas",14,24578
2023,"San Fulgencio",88,294010
2023,"San Isidro",20,23641
2023,"San Miguel de Salinas",89,204957
2023,"San Vicente del Raspeig/Sant Vicent del Raspeig",259,670750
2023,"Sanet y Negrals",6,22511
2023,"Sant Joan d'Alacant",118,388395
2023,"Santa Pola",223,966127
2023,"Sax",65,164165
2023,"Sella",5,17141
2023,"Senija",7,19303
2023,"Tàrbena",7,18580
2023,"Teulada",136,991326
2023,"Tibi",28,67867
2023,"Tollos",1,3263
2023,"Tormos",2,15674
2023,"Torremanzanas/Torre de les Maçanes, la",11,16303
2023,"Torrevieja",941,2952827
2023,"Vall d'Alcalà, la",4,6729
2023,"Vall d'Ebo, la",3,10766
2023,"Vall de Gallinera",22,27888
2023,"Vall de Laguar, la",12,31675
2023,"Verger, el",47,132651
2023,"Villajoyosa/Vila Joiosa, la",178,631933
2023,"Villena",182,460891
2023,"Xaló",29,127119
