"year","mun","cont","kg"
2023,"Badalona",585,2790440
2023,"Badia del Vallès",38,114540
2023,"Barberà del Vallès",100,545960
2023,"Barcelona",3868,39783360
2023,"Begues",78,185080
2023,"Castellbisbal",53,229040
2023,"Castelldefels",378,1775380
2023,"Cerdanyola del Vallès",227,1080080
2023,"Cervelló",93,217160
2023,"Corbera de Llobregat",117,303340
2023,"Cornellà de Llobregat",150,1202960
2023,"Esplugues de Llobregat",162,802460
2023,"Gavà",284,913720
2023,"Hospitalet de Llobregat, L'",638,4022260
2023,"Molins de Rei",175,548950
2023,"Montcada i Reixac",120,488780
2023,"Montgat",51,252740
2023,"Pallejà",86,237460
2023,"Palma de Cervelló, La",13,74840
2023,"Papiol, El",59,96940
2023,"Prat de Llobregat, El",249,1076460
2023,"Ripollet",114,673460
2023,"Sant Adrià de Besòs",120,452360
2023,"Sant Andreu de la Barca",72,335820
2023,"Sant Boi de Llobregat",311,1253140
2023,"Sant Climent de Llobregat",26,86140
2023,"Sant Cugat del Vallès",342,2094660
2023,"Sant Feliu de Llobregat",147,752080
2023,"Sant Joan Despí",107,601840
2023,"Sant Just Desvern",165,465940
2023,"Sant Vicenç dels Horts",227,393400
2023,"Santa Coloma de Cervelló",42,184140
2023,"Santa Coloma de Gramenet",256,1312940
2023,"Tiana",73,214940
2023,"Torrelles de Llobregat",30,106640
2023,"Viladecans",238,895820
