"year","mun","cont","kg"
2021,"Aguadulce",23,51899
2021,"Alanís",9,12298
2021,"Albaida del Aljarafe",12,37232
2021,"Alcalá de Guadaíra",237,936240
2021,"Alcalá del Río",63,160792
2021,"Alcolea del Río",19,29240
2021,"Algaba, La",49,142009
2021,"Algámitas",11,12521
2021,"Almadén de la Plata",19,25166
2021,"Almensilla",25,72671
2021,"Arahal",94,180640
2021,"Aznalcázar",17,53333
2021,"Aznalcóllar",18,70048
2021,"Badolatosa",17,41864
2021,"Benacazón",26,84635
2021,"Bollullos de la Mitación",40,128293
2021,"Bormujos",89,258806
2021,"Brenes",49,98123
2021,"Burguillos",28,74296
2021,"Cabezas de San Juan, Las",103,169080
2021,"Camas",102,344716
2021,"Campana, La",23,29734
2021,"Cañada Rosal",17,47513
2021,"Cantillana",36,98572
2021,"Carmona",143,360910
2021,"Carrión de los Céspedes",12,29903
2021,"Casariche",35,66045
2021,"Castilblanco de los Arroyos",28,90275
2021,"Castilleja de Guzmán",11,33059
2021,"Castilleja de la Cuesta",59,209288
2021,"Castilleja del Campo",5,7317
2021,"Castillo de las Guardas, El",14,16851
2021,"Cazalla de la Sierra",32,67368
2021,"Constantina",24,54173
2021,"Coria del Río",84,270620
2021,"Coripe",10,22760
2021,"Coronil, El",36,104380
2021,"Corrales, Los",32,49294
2021,"Cuervo de Sevilla, El",51,93200
2021,"Dos Hermanas",536,1749800
2021,"Écija",146,290240
2021,"Espartinas",63,185499
2021,"Estepa",30,121701
2021,"Fuentes de Andalucía",44,98656
2021,"Garrobo, El",5,6618
2021,"Gelves",42,119000
2021,"Gerena",50,120361
2021,"Gilena",20,79802
2021,"Gines",50,156382
2021,"Guadalcanal",18,32714
2021,"Guillena",53,114412
2021,"Herrera",33,82194
2021,"Huévar del Aljarafe",14,36168
2021,"Isla Mayor",26,67342
2021,"Lantejuela",32,67300
2021,"Lebrija",153,564080
2021,"Lora de Estepa",15,30719
2021,"Lora del Río",60,208798
2021,"Luisiana, La",21,45707
2021,"Madroño, El",8,8326
2021,"Mairena del Alcor",110,296110
2021,"Mairena del Aljarafe",184,542059
2021,"Marchena",87,195520
2021,"Marinaleda",18,26167
2021,"Martín de la Jara",21,43593
2021,"Molares, Los",21,38120
2021,"Montellano",34,121360
2021,"Morón de la Frontera",126,448800
2021,"Navas de la Concepción, Las",9,22952
2021,"Olivares",37,109256
2021,"Osuna",89,173780
2021,"Palacios y Villafranca, Los",131,374400
2021,"Palmar de Troya, El",10,35269
2021,"Palomares del Río",31,104262
2021,"Paradas",52,130120
2021,"Pedrera",32,85487
2021,"Pedroso, El",17,24554
2021,"Peñaflor",32,57251
2021,"Pilas",53,160161
2021,"Pruna",12,19287
2021,"Puebla de Cazalla, La",51,150740
2021,"Puebla de los Infantes, La",21,35736
2021,"Puebla del Río, La",46,137240
2021,"Real de la Jara, El",20,22510
2021,"Rinconada, La",153,511621
2021,"Roda de Andalucía, La",32,40601
2021,"Ronquillo, El",8,15322
2021,"Rubio, El",15,22777
2021,"Salteras",22,65262
2021,"San Juan de Aznalfarache",76,259547
2021,"San Nicolás del Puerto",9,9800
2021,"Sanlúcar la Mayor",48,162126
2021,"Santiponce",32,98147
2021,"Saucejo, El",30,57992
2021,"Sevilla",2134,10202286
2021,"Tocina",34,90045
2021,"Tomares",128,396168
2021,"Umbrete",34,105025
2021,"Utrera",202,670111
2021,"Valencina de la Concepción",29,91247
2021,"Villamanrique de la Condesa",16,52374
2021,"Villanueva de San Juan",11,6717
2021,"Villanueva del Ariscal",23,77133
2021,"Villanueva del Río y Minas",27,32534
2021,"Villaverde del Río",30,58626
2021,"Viso del Alcor, El",76,238580
