"year","mun","cont","kg"
2021,"Avià",16,63392
2021,"Bagà",19,56964
2021,"Berga",96,467604
2021,"Borredà",12,23820
2021,"Capolat",3,5033
2021,"Casserres",18,62271
2021,"Castell de l'Areny",1,2634
2021,"Castellar de n'Hug",6,7316
2021,"Castellar del Riu",4,13851
2021,"Cercs",18,40616
2021,"Espunyola, L'",3,8554
2021,"Fígols",0,0
2021,"Gironella",44,155637
2021,"Gisclareny",2,1990
2021,"Gósol",5,35603
2021,"Guardiola de Berguedà",23,60437
2021,"Montclar",2,4584
2021,"Montmajor",12,10613
2021,"Nou de Berguedà, La",5,12622
2021,"Olvan",15,24229
2021,"Pobla de Lillet, La",12,52185
2021,"Puig-reig",44,142625
2021,"Quar, La",1,4506
2021,"Sagàs",7,11890
2021,"Saldes",12,35466
2021,"Sant Jaume de Frontanyà",3,975
2021,"Sant Julià de Cerdanyola",1,11286
2021,"Santa Maria de Merlès",3,8350
2021,"Vallcebre",3,31574
2021,"Vilada",12,19635
2021,"Viver i Serrateix",6,17938
