"year","mun","cont","kg"
2021,"Agost",29,57175
2021,"Agres",6,20394
2021,"Aigües",11,28961
2021,"Albatera",64,161652
2021,"Alcalalí",22,61926
2021,"Alcocer de Planes",3,4685
2021,"Alcoleja",5,8423
2021,"Alcoy/Alcoi",190,946020
2021,"Alfafara",3,18045
2021,"Alfàs del Pi, l'",149,608450
2021,"Algorfa",30,95556
2021,"Algueña",17,25346
2021,"Alicante/Alacant",1451,6003691
2021,"Almoradí",112,223345
2021,"Almudaina",1,3346
2021,"Alqueria d'Asnar, l'",3,9900
2021,"Altea",164,942336
2021,"Aspe",74,265512
2021,"Atzúbia, l'",6,25642
2021,"Balones",1,4293
2021,"Banyeres de Mariola",42,142994
2021,"Benasau",3,8764
2021,"Beneixama",12,34758
2021,"Benejúzar",39,68551
2021,"Benferri",13,21687
2021,"Beniarbeig",19,70861
2021,"Beniardá",3,3965
2021,"Beniarrés",8,50435
2021,"Benidoleig",11,53419
2021,"Benidorm",416,1912085
2021,"Benifallim",2,4685
2021,"Benifato",2,5402
2021,"Benigembla",5,20887
2021,"Benijófar",42,105631
2021,"Benilloba",5,18967
2021,"Benillup",2,5076
2021,"Benimantell",14,22554
2021,"Benimarfull",3,14269
2021,"Benimassot",2,4218
2021,"Benimeli",3,8414
2021,"Benissa",103,501578
2021,"Benitachell/Poble Nou de Benitatxell, el",41,210006
2021,"Biar",22,70683
2021,"Bigastro",50,80091
2021,"Bolulla",4,11893
2021,"Busot",35,78437
2021,"Callosa d'en Sarrià",31,79706
2021,"Callosa de Segura",71,116850
2021,"Calp",250,1138072
2021,"Campello, el",232,917767
2021,"Campo de Mirra/Camp de Mirra, el",3,9879
2021,"Cañada",7,21762
2021,"Castalla",61,199816
2021,"Castell de Castells",2,23071
2021,"Castell de Guadalest, el",6,20024
2021,"Catral",33,77437
2021,"Cocentaina",80,270967
2021,"Confrides",7,11278
2021,"Cox",45,59886
2021,"Crevillent",151,325576
2021,"Daya Nueva",17,28434
2021,"Daya Vieja",9,23472
2021,"Dénia",393,1706099
2021,"Dolores",33,65145
2021,"Elche/Elx",915,2972552
2021,"Elda",236,583601
2021,"Facheca",1,5809
2021,"Famorca",1,2500
2021,"Finestrat",71,163064
2021,"Fondó de les Neus, el/Hondón de las Nieves",22,54391
2021,"Formentera del Segura",20,89558
2021,"Gaianes",6,20040
2021,"Gata de Gorgos",43,155472
2021,"Gorga",1,4836
2021,"Granja de Rocamora",12,17644
2021,"Guardamar del Segura",162,528818
2021,"Hondón de los Frailes",15,29651
2021,"Ibi",89,409643
2021,"Jacarilla",16,31024
2021,"Jávea/Xàbia",242,1643469
2021,"Jijona/Xixona",49,137051
2021,"Llíber",12,40009
2021,"Lorcha/Orxa, l'",5,29385
2021,"Millena",1,2652
2021,"Monforte del Cid",62,105780
2021,"Monóvar/Monòver",76,181215
2021,"Montesinos, Los",57,88413
2021,"Murla",6,26184
2021,"Muro de Alcoy",62,202899
2021,"Mutxamel",143,376797
2021,"Novelda",111,304152
2021,"Nucia, la",112,259507
2021,"Ondara",45,158366
2021,"Onil",36,126609
2021,"Orba",2,94820
2021,"Orihuela",806,2120032
2021,"Orxeta",10,26814
2021,"Parcent",9,48696
2021,"Pedreguer",39,231889
2021,"Pego",84,232338
2021,"Penàguila",3,15179
2021,"Petrer",170,432169
2021,"Pilar de la Horadada",197,617701
2021,"Pinós, el/Pinoso",65,132090
2021,"Planes",11,28640
2021,"Poblets, els",38,183875
2021,"Polop",37,84503
2021,"Quatretondeta",1,6554
2021,"Rafal",30,45442
2021,"Ràfol d'Almúnia, el",7,23150
2021,"Redován",28,61220
2021,"Relleu",11,23240
2021,"Rojales",171,484562
2021,"Romana, la",12,26017
2021,"Sagra",3,17784
2021,"Salinas",13,21138
2021,"San Fulgencio",87,268697
2021,"San Isidro",20,25054
2021,"San Miguel de Salinas",90,187026
2021,"San Vicente del Raspeig/Sant Vicent del Raspeig",260,600211
2021,"Sanet y Negrals",6,24699
2021,"Sant Joan d'Alacant",115,414212
2021,"Santa Pola",218,772749
2021,"Sax",53,148502
2021,"Sella",5,18640
2021,"Senija",7,23366
2021,"Tàrbena",7,22343
2021,"Teulada",136,927029
2021,"Tibi",27,66232
2021,"Tollos",1,3675
2021,"Tormos",2,13636
2021,"Torremanzanas/Torre de les Maçanes, la",12,14487
2021,"Torrevieja",791,2229306
2021,"Vall d'Alcalà, la",4,7577
2021,"Vall d'Ebo, la",3,12123
2021,"Vall de Gallinera",22,38849
2021,"Vall de Laguar, la",12,35860
2021,"Verger, el",46,121462
2021,"Villajoyosa/Vila Joiosa, la",167,571040
2021,"Villena",179,489298
2021,"Xaló",29,120533
