"year","mun","cont","kg"
2021,"Alájar",7,15865
2021,"Aljaraque",121,260887
2021,"Almendro, El",9,9032
2021,"Almonaster la Real",23,22871
2021,"Almonte",141,215572
2021,"Alosno",23,14518
2021,"Aracena",60,124983
2021,"Aroche",13,8039
2021,"Arroyomolinos de León",9,11291
2021,"Ayamonte",229,482218
2021,"Beas",30,23499
2021,"Berrocal",6,6155
2021,"Bollullos Par del Condado",74,127192
2021,"Bonares",28,35664
2021,"Cabezas Rubias",4,2517
2021,"Cala",15,14321
2021,"Calañas",18,16476
2021,"Campillo, El",14,14972
2021,"Campofrío",8,6958
2021,"Cañaveral de León",4,3560
2021,"Cartaya",148,339094
2021,"Castaño del Robledo",5,7026
2021,"Cerro de Andévalo, El",13,19279
2021,"Chucena",12,16453
2021,"Corteconcepción",6,8175
2021,"Cortegana",24,34377
2021,"Cortelazor",4,5092
2021,"Cumbres de Enmedio",1,902
2021,"Cumbres de San Bartolomé",4,3190
2021,"Cumbres Mayores",10,11399
2021,"Encinasola",17,20412
2021,"Escacena del Campo",14,15936
2021,"Fuenteheridos",5,11674
2021,"Galaroza",8,13294
2021,"Gibraleón",53,72625
2021,"Granada de Río-Tinto, La",4,2554
2021,"Granado, El",4,2276
2021,"Higuera de la Sierra",11,15278
2021,"Hinojales",2,1153
2021,"Hinojos",24,41949
2021,"Huelva",421,1253000
2021,"Isla Cristina",170,367403
2021,"Jabugo",13,18783
2021,"Lepe",179,308659
2021,"Linares de la Sierra",2,4444
2021,"Lucena del Puerto",15,8478
2021,"Manzanilla",16,15891
2021,"Marines, Los",5,4517
2021,"Minas de Riotinto",31,21521
2021,"Moguer",103,190629
2021,"Nava, La",5,4284
2021,"Nerva",41,24010
2021,"Niebla",28,25122
2021,"Palma del Condado, La",58,93437
2021,"Palos de la Frontera",56,109368
2021,"Paterna del Campo",21,42517
2021,"Paymogo",8,7730
2021,"Puebla de Guzmán",18,16704
2021,"Puerto Moral",3,3026
2021,"Punta Umbría",163,376509
2021,"Rociana del Condado",27,40483
2021,"Rosal de la Frontera",13,19550
2021,"San Bartolomé de la Torre",22,26650
2021,"San Juan del Puerto",56,47846
2021,"San Silvestre de Guzmán",10,11480
2021,"Sanlúcar de Guadiana",6,6310
2021,"Santa Ana la Real",7,7899
2021,"Santa Bárbara de Casa",8,5113
2021,"Santa Olalla del Cala",12,12636
2021,"Trigueros",41,41988
2021,"Valdelarco",3,1613
2021,"Valverde del Camino",70,90199
2021,"Villablanca",16,28552
2021,"Villalba del Alcor",14,18189
2021,"Villanueva de las Cruces",3,1700
2021,"Villanueva de los Castillejos",13,28706
2021,"Villarrasa",12,10405
2021,"Zalamea la Real",28,28877
2021,"Zarza-Perrunal, La",8,6206
2021,"Zufre",5,5089
